variable,label
11,"Maison de retraite, Ehpad"
12,Structure Adoma
13,Autres foyers de travailleurs
15,Structures pour personnes nécessitant des soins médicaux
16,Structures pour enfants handicapés
17,Structures pour adultes handicapés
18,Structures d’aide sociale à l’enfance et de protection judiciaire
19,Structures pour adultes et familles avec accompagnement social et psychologique
21,Communauté religieuse
31,Gendarmerie
32,Autre établissement militaire
41,Cité universitaire
42,Autre internat
51,Etablissement pénitentiaire
61,Etablissement social de court séjour
71,Autre catégorie de communauté
