variable,label
AP,Appartement
AT,Antenne téléphone
AU,Autoroute
BC,Bûcher
BD,Buanderie
BX,Box
CA,Commerce sans boutique
CB,Local divers
CD,Chambre de domestique
CH,Chantier
CL,Cellier
CM,Commerce avec boutique
CV,Cave
DC,Dépendance communes ou lieux communs
DE,Dépendance bâtie isolée
EC,Dépendance commerciale
GA,Garage
GC,Grenier ou cave
GP,Garage ou parking
GR,Grenier
JH,Jardin d'hiver
LC,Local commun
MA,Maison
ME,Maison exceptionnelle
MP,Maison partagée par une limite territoriale
PA,Elément de pur agrément
PI,Pièce indépendante
PK,Parking
PS,Piscine
RS,Remise
SM,Sol de maison
SR,Serre
TR,Terrasse
TT,Toiture-terrasse
UE,Transformateur électrique
UG,Appareil à gaz
UN,Usine nucléaire
US/U,Etablissement industriel
