variable,label
1101,Céréales : Avoine (y compris semences)
1102,Céréales : Blé dur (y compris semences)
1103,Céréales : Blé tendre (y compris semences)
1105,"Céréales : Orge, escourgeon (y compris semences)"
1107,Céréales : Seigle (y compris semences)
1109,Céréales : Triticale (y compris semences)
1110,"Céréales : Autres (mélanges, sarrasin…)"
1111,Autres cultures
1202,Cultures industrielles : Colza
1206,"Cultures industrielles : Autres oléagineux (œillette, ricin…)"
1301,"Protéagineux, légumes : Fève, féverole, lupin doux (y compris semences)"
1303,"Protéagineux, légumes : Pois protéagineux (y compris semences)"
1304,"Protéagineux, légumes : Autres légumes secs (haricot…) (y compris semences)"
1502,"Fourrages : Plantes sarclées fourragères (chou, betterave….)"
1503,Fourrages : Autres fourrages annuels (sorgho fourrager…)
2104,Céréales : Maïs grain et semence
2106,Céréales : Riz
2108,Céréales : Sorgho-grain (y compris semences)
2201,Cultures industrielles : Betterave
2203,Cultures industrielles : Lin oléagineux
2204,Cultures industrielles : Tournesol
2205,Cultures industrielles : Soja
2207,Cultures industrielles : Chanvre
2208,Cultures industrielles : Lin textile
2302,"Protéagineux, légumes : Lentilles, pois chiches, vesces (y compris semences)"
2401,Pomme de terre
2501,Fourrages : Maïs fourrage et ensilage
9209,Cultures industrielles : Autres plantes textiles
9210,Cultures industrielles : Houblon
9211,"Cultures industrielles : Plantes médicinales, à parfum ou condiments"
9212,"Cultures industrielles : Semences grainières (légumières, florales…)"
9213,Cultures industrielles : Tabac (y compris plants)
9214,"Cultures industrielles : Autres (chanvre papier, chicorée à café…)"
9305,"Légumes : Légumes frais, fraises et melons"
9504,"Prairies artificielles (trèfle, luzerne, sainfoin, minette, lotier…)"
9505,"Prairies temporaires (moins de 6 ans, graminées)"
9506,Prairies permanentes
9601,"Cultures permanentes – Fleurs, plantes ornementales, pépinières"
9602,Cultures permanentes – Vergers
9603,Cultures permanentes – Vignes
9701,Jachères en sol nu
9702,Jachères avec couvert végétal spontané
9703,Jachères avec couvert végétal semé
9888,Ne sait pas
