variable,label
1,Vos pratiques historiques et habituelles
2,Vos observations sur la parcelle en cours de culture
3,"Vos comptages (ravageurs, auxiliaires, fréquence symptômes, pression adventices...)"
4,Les prévisions météorologiques et le niveau des précipitations
5,Les bulletins de santé du végétal BSV
6,Les bulletins de préconisation phyto certifiés
7,Les conseils des fournisseurs
8,Les recommandations d’organismes indépendants de la vente
9,L'expérience d’autres agriculteurs
10,Vos propres outils de pilotage
