modality_code,label
1:Oui,1:Oui
1:Oui,1:Oui
1,Oui
? l??chelle des parcelles2:Oui,? l??chelle des parcelles2:Oui
? l??chelle des parcelles2:Oui,? l??chelle des parcelles2:Oui
? l??chelle des parcelles2,Oui
? l??chelle de regroupements de parcelles3:Oui,? l??chelle de regroupements de parcelles3:Oui
? l??chelle de regroupements de parcelles3:Oui,? l??chelle de regroupements de parcelles3:Oui
? l??chelle de regroupements de parcelles3,Oui
? l??chelle de l?exploitation0:Non,? l??chelle de l?exploitation0:Non
? l??chelle de l?exploitation0:Non,? l??chelle de l?exploitation0:Non
? l??chelle de l?exploitation0,Non
