modality_code,label
1:Oiseaux (corbeaux,1:Oiseaux (corbeaux
1:Oiseaux (corbeaux,1:Oiseaux (corbeaux
1,Oiseaux (corbeaux
pigeons,pigeons
pigeons,pigeons
pigeons,pigeons
...)2:Autres gibiers (li?vres,...)2:Autres gibiers (li?vres
...)2:Autres gibiers (li?vres,...)2:Autres gibiers (li?vres
...)2,Autres gibiers (li?vres
lapins,lapins
lapins,lapins
lapins,lapins
...)3:Ravageurs du sol (limaces,...)3:Ravageurs du sol (limaces
...)3:Ravageurs du sol (limaces,...)3:Ravageurs du sol (limaces
...)3,Ravageurs du sol (limaces
taupins,taupins
taupins,taupins
taupins,taupins
...)4:?v?nements climatiques (s?cheresse,...)4:?v?nements climatiques (s?cheresse
...)4:?v?nements climatiques (s?cheresse,...)4:?v?nements climatiques (s?cheresse
...)4,?v?nements climatiques (s?cheresse
exc?s d?eau,exc?s d?eau
exc?s d?eau,exc?s d?eau
exc?s d?eau,exc?s d?eau
orages,orages
orages,orages
orages,orages
gr?le...)5:Autres causes,gr?le...)5:Autres causes
gr?le...)5:Autres causes,gr?le...)5:Autres causes
gr?le...)5,Autres causes
