modality_code,label
01,gramin?es?: Avoine
02,gramin?es?: Orge
03,gramin?es?: Seigle
04,gramin?es?: Triticale
05,gramin?es?: Ray-grass
06,gramin?es : Moha
07,gramin?es : Autres (pures)
08,gramin?es : M?lange
09,crucif?res  : Colza
10,crucif?res  : Navette
11,crucif?res?: Radis fourrager
12,crucif?res?: Moutarde
13,crucif?res?: Autres (pures)
14,crucif?res?: M?lange 
15,l?gumineuses?: Tr?fle
16,l?gumineuses?: Autres (pures)
17,l?gumineuses?: M?lange 
18,Sarrasin 
19,Phac?lie 
20,Tournesol 
21,Nyger
22,M?lange l?gumineuses gramin?es
23,M?lange l?gumineuses crucif?res
24,M?lange l?gumineuses phac?lie 
25,M?lange gramin?es crucif?res
26,M?lange gramin?es phac?lie 
27,M?lange crucif?res phac?lie 
28,Autre M?lange avec l?gumineuse
29,Autre M?lange sans l?gumineuse
30,Autres
