modality_code,label
01:(N) solution azot?e02:(N+S) solution azot?e soufr?e03:(N) ammonitrate04:(N+S) ammonitrate enrichi en soufre05:(N) ur?e06:(N) ur?e + inhibiteur d'ur?ase07:(N) ammoniac08:(N) nitrate de soude09:(N) nitrate de chaux10:(N+S) sulfate d?ammoniaque11:(N+S) sulfate d?ammoniaque et ur?e12:(N+S) sulfonitrate13:(N) autre engrais azot?14:(P) phosphate naturel15:(P) scories thomas16:(P) superphosphate17:(P+S) phosphore et soufre18:(K) chlorure de potassium19:(K+S) sulfate de potassium20:(K) autre potassique21:(NP) Phosphate d?ammoniaque (MAP,01:(N) solution azot?e02:(N+S) solution azot?e soufr?e03:(N) ammonitrate04:(N+S) ammonitrate enrichi en soufre05:(N) ur?e06:(N) ur?e + inhibiteur d'ur?ase07:(N) ammoniac08:(N) nitrate de soude09:(N) nitrate de chaux10:(N+S) sulfate d?ammoniaque11:(N+S) sulfate d?ammoniaque et ur?e12:(N+S) sulfonitrate13:(N) autre engrais azot?14:(P) phosphate naturel15:(P) scories thomas16:(P) superphosphate17:(P+S) phosphore et soufre18:(K) chlorure de potassium19:(K+S) sulfate de potassium20:(K) autre potassique21:(NP) Phosphate d?ammoniaque (MAP
01:(N) solution azot?e02:(N+S) solution azot?e soufr?e03:(N) ammonitrate04:(N+S) ammonitrate enrichi en soufre05:(N) ur?e06:(N) ur?e + inhibiteur d'ur?ase07:(N) ammoniac08:(N) nitrate de soude09:(N) nitrate de chaux10:(N+S) sulfate d?ammoniaque11:(N+S) sulfate d?ammoniaque et ur?e12:(N+S) sulfonitrate13:(N) autre engrais azot?14:(P) phosphate naturel15:(P) scories thomas16:(P) superphosphate17:(P+S) phosphore et soufre18:(K) chlorure de potassium19:(K+S) sulfate de potassium20:(K) autre potassique21:(NP) Phosphate d?ammoniaque (MAP,01:(N) solution azot?e02:(N+S) solution azot?e soufr?e03:(N) ammonitrate04:(N+S) ammonitrate enrichi en soufre05:(N) ur?e06:(N) ur?e + inhibiteur d'ur?ase07:(N) ammoniac08:(N) nitrate de soude09:(N) nitrate de chaux10:(N+S) sulfate d?ammoniaque11:(N+S) sulfate d?ammoniaque et ur?e12:(N+S) sulfonitrate13:(N) autre engrais azot?14:(P) phosphate naturel15:(P) scories thomas16:(P) superphosphate17:(P+S) phosphore et soufre18:(K) chlorure de potassium19:(K+S) sulfate de potassium20:(K) autre potassique21:(NP) Phosphate d?ammoniaque (MAP
01,(N) solution azot?e02:(N+S) solution azot?e soufr?e03:(N) ammonitrate04:(N+S) ammonitrate enrichi en soufre05:(N) ur?e06:(N) ur?e + inhibiteur d'ur?ase07:(N) ammoniac08:(N) nitrate de soude09:(N) nitrate de chaux10:(N+S) sulfate d?ammoniaque11:(N+S) sulfate d?ammoniaque et ur?e12:(N+S) sulfonitrate13:(N) autre engrais azot?14:(P) phosphate naturel15:(P) scories thomas16:(P) superphosphate17:(P+S) phosphore et soufre18:(K) chlorure de potassium19:(K+S) sulfate de potassium20:(K) autre potassique21:(NP) Phosphate d?ammoniaque (MAP
DAP)22:(NP) Autre azote et phosphore23:(NP+S) Autre engrais azote,DAP)22:(NP) Autre azote et phosphore23:(NP+S) Autre engrais azote
DAP)22:(NP) Autre azote et phosphore23:(NP+S) Autre engrais azote,DAP)22:(NP) Autre azote et phosphore23:(NP+S) Autre engrais azote
DAP)22,(NP) Autre azote et phosphore23:(NP+S) Autre engrais azote
phosphore et soufre24:(NK) Azote et potassium25:(NK+S) Azote,phosphore et soufre24:(NK) Azote et potassium25:(NK+S) Azote
phosphore et soufre24:(NK) Azote et potassium25:(NK+S) Azote,phosphore et soufre24:(NK) Azote et potassium25:(NK+S) Azote
phosphore et soufre24,(NK) Azote et potassium25:(NK+S) Azote
potassium et soufre26:(PK) (super)phosphopotassique27:(PK) superpotassique28:(PK+S) potassium,potassium et soufre26:(PK) (super)phosphopotassique27:(PK) superpotassique28:(PK+S) potassium
