modality_code,label
923:Autre canne ? sucre910:C?r?ales (y c semences)920:Cultures industrielles hors canne (ol?agineux,923:Autre canne ? sucre910:C?r?ales (y c semences)920:Cultures industrielles hors canne (ol?agineux
923:Autre canne ? sucre910:C?r?ales (y c semences)920:Cultures industrielles hors canne (ol?agineux,923:Autre canne ? sucre910:C?r?ales (y c semences)920:Cultures industrielles hors canne (ol?agineux
923,Autre canne ? sucre910:C?r?ales (y c semences)920:Cultures industrielles hors canne (ol?agineux
plantes textiles,plantes textiles
plantes textiles,plantes textiles
plantes textiles,plantes textiles
?)930:L?gumes secs,?)930:L?gumes secs
?)930:L?gumes secs,?)930:L?gumes secs
?)930,L?gumes secs
l?gumes frais,l?gumes frais
l?gumes frais,l?gumes frais
l?gumes frais,l?gumes frais
fraise,fraise
fraise,fraise
fraise,fraise
melon940:Tubercules950:Fourrages,melon940:Tubercules950:Fourrages
melon940:Tubercules950:Fourrages,melon940:Tubercules950:Fourrages
melon940,Tubercules950:Fourrages
prairies961:Fleurs et plantes ornementales,prairies961:Fleurs et plantes ornementales
prairies961:Fleurs et plantes ornementales,prairies961:Fleurs et plantes ornementales
prairies961,Fleurs et plantes ornementales
p?pini?res962:Fruits963:Vignes970:Jach?res900:Autres cultures988:Ne sait pas,p?pini?res962:Fruits963:Vignes970:Jach?res900:Autres cultures988:Ne sait pas
p?pini?res962:Fruits963:Vignes970:Jach?res900:Autres cultures988:Ne sait pas,p?pini?res962:Fruits963:Vignes970:Jach?res900:Autres cultures988:Ne sait pas
p?pini?res962,Fruits963:Vignes970:Jach?res900:Autres cultures988:Ne sait pas
