modality_code,label
1:30% MS,1:30% MS
1:30% MS,1:30% MS
1,30% MS
600 kg brut,600 kg brut
600 kg brut,600 kg brut
600 kg brut,600 kg brut
180 kg MS2:40% MS,180 kg MS2:40% MS
180 kg MS2:40% MS,180 kg MS2:40% MS
180 kg MS2,40% MS
500 kg brut,500 kg brut
500 kg brut,500 kg brut
500 kg brut,500 kg brut
200 kg MS3:50% MS,200 kg MS3:50% MS
200 kg MS3:50% MS,200 kg MS3:50% MS
200 kg MS3,50% MS
440 kg brut,440 kg brut
440 kg brut,440 kg brut
440 kg brut,440 kg brut
220 kg MS4:60% MS,220 kg MS4:60% MS
220 kg MS4:60% MS,220 kg MS4:60% MS
220 kg MS4,60% MS
365 kg brut,365 kg brut
365 kg brut,365 kg brut
365 kg brut,365 kg brut
220 kg MS,220 kg MS
220 kg MS,220 kg MS
220 kg MS,220 kg MS
