modality_code,label
1:Ensilage direct,1:Ensilage direct
1:Ensilage direct,1:Ensilage direct
1,Ensilage direct
18 ? 20?% de MS,18 ? 20?% de MS
18 ? 20?% de MS,18 ? 20?% de MS
18 ? 20?% de MS,18 ? 20?% de MS
150 kg de MS/m32:Ensilage ressuy?,150 kg de MS/m32:Ensilage ressuy?
150 kg de MS/m32:Ensilage ressuy?,150 kg de MS/m32:Ensilage ressuy?
150 kg de MS/m32,Ensilage ressuy?
20 ? 24?% de MS,20 ? 24?% de MS
20 ? 24?% de MS,20 ? 24?% de MS
20 ? 24?% de MS,20 ? 24?% de MS
180 kg de MS/m33:Ensilage pr?fan?,180 kg de MS/m33:Ensilage pr?fan?
180 kg de MS/m33:Ensilage pr?fan?,180 kg de MS/m33:Ensilage pr?fan?
180 kg de MS/m33,Ensilage pr?fan?
25 ? 30?% de MS,25 ? 30?% de MS
25 ? 30?% de MS,25 ? 30?% de MS
25 ? 30?% de MS,25 ? 30?% de MS
200 kg de MS/m3,200 kg de MS/m3
200 kg de MS/m3,200 kg de MS/m3
200 kg de MS/m3,200 kg de MS/m3
