modality_code,label
1:Sp?cialis?e en grandes cultures2:Sp?cialis?e en ?levage3:Autre (polyculture ?levage,1:Sp?cialis?e en grandes cultures2:Sp?cialis?e en ?levage3:Autre (polyculture ?levage
1:Sp?cialis?e en grandes cultures2:Sp?cialis?e en ?levage3:Autre (polyculture ?levage,1:Sp?cialis?e en grandes cultures2:Sp?cialis?e en ?levage3:Autre (polyculture ?levage
1,Sp?cialis?e en grandes cultures2:Sp?cialis?e en ?levage3:Autre (polyculture ?levage
horticulture,horticulture
horticulture,horticulture
horticulture,horticulture
vergers,vergers
vergers,vergers
vergers,vergers
vignes,vignes
vignes,vignes
vignes,vignes
...),...)
...),...)
...),...)
