modality_code,label
1:Climatiques (gr?le,1:Climatiques (gr?le
1:Climatiques (gr?le,1:Climatiques (gr?le
1,Climatiques (gr?le
orages,orages
orages,orages
orages,orages
inondations,inondations
inondations,inondations
inondations,inondations
s?cheresse...)2:Sanitaires (ou gibiers,s?cheresse...)2:Sanitaires (ou gibiers
s?cheresse...)2:Sanitaires (ou gibiers,s?cheresse...)2:Sanitaires (ou gibiers
s?cheresse...)2,Sanitaires (ou gibiers
oiseaux,oiseaux
oiseaux,oiseaux
oiseaux,oiseaux
...)3:Les deux (climatiques et sanitaires)4:Autres,...)3:Les deux (climatiques et sanitaires)4:Autres
...)3:Les deux (climatiques et sanitaires)4:Autres,...)3:Les deux (climatiques et sanitaires)4:Autres
...)3,Les deux (climatiques et sanitaires)4:Autres
