modality_code,label
1:Gramin?e pure monosp?cifique (type RGI)2:Gramin?es en m?lange,1:Gramin?e pure monosp?cifique (type RGI)2:Gramin?es en m?lange
1:Gramin?e pure monosp?cifique (type RGI)2:Gramin?es en m?lange,1:Gramin?e pure monosp?cifique (type RGI)2:Gramin?es en m?lange
1,Gramin?e pure monosp?cifique (type RGI)2:Gramin?es en m?lange
association (sans l?gumineuses)3:M?lange,association (sans l?gumineuses)3:M?lange
association (sans l?gumineuses)3:M?lange,association (sans l?gumineuses)3:M?lange
association (sans l?gumineuses)3,M?lange
association gramin?es/l?gumineuses pour p?ture4:M?lange,association gramin?es/l?gumineuses pour p?ture4:M?lange
association gramin?es/l?gumineuses pour p?ture4:M?lange,association gramin?es/l?gumineuses pour p?ture4:M?lange
association gramin?es/l?gumineuses pour p?ture4,M?lange
association gramin?es/l?gumineuses pour fauche 5:M?lange,association gramin?es/l?gumineuses pour fauche 5:M?lange
association gramin?es/l?gumineuses pour fauche 5:M?lange,association gramin?es/l?gumineuses pour fauche 5:M?lange
association gramin?es/l?gumineuses pour fauche 5,M?lange
association gramin?es/l?gumineuses pour usage mixte fauche et p?ture6:Autres,association gramin?es/l?gumineuses pour usage mixte fauche et p?ture6:Autres
association gramin?es/l?gumineuses pour usage mixte fauche et p?ture6:Autres,association gramin?es/l?gumineuses pour usage mixte fauche et p?ture6:Autres
association gramin?es/l?gumineuses pour usage mixte fauche et p?ture6,Autres
