modality_code,label
15,"Céréales, oléagineux et protéagineux"
16,"Autres grandes cultures annuelles (légumes de plein champ, cultures industrielles...)"
21,Horticulture d'intérieur (légumes et plantes ornementales d'intérieur)
22,Horticulture de plein air (légumes et plantes ornementales de plein air)
23,"Autres types d'horticulture (champignons, pépinières...)"
35,Viticulture
36,Fruits et agrumes
37,Oléiculture
38,Combinaisons de cultures permanentes
45,Bovins en orientation lait
46,Bovins en orientation élevage et viande
47,Bovins lait et élevage à viande combinés
48,"Ovins, caprins et autres herbivores"
51,Porcins
52,Aviculture
53,Diverses combinaisons de granivores
61,Polyculture
73,Poly élevage à orientation herbivores
74,Poly élevage à orientation granivores
83,Exploitations mixtes grandes cultures et herbivores
84,Exploitations mixtes avec diverses combinaisons cultures et élevage
90,Exploitations non classées
