modality_code,label
1001,"Céréales à pailles (y c. semences), maïs grain, riz, ..."
1011,Cipan : Crucifères
1016,Cipan : Légumineuses
1019,Cipan : Mélange de légumineuses
1030,"Cipan : autres (Graminées,…)"
1111,Autres cultures y compris semences
1900,Étendue d'eau asséchée
2001,"Oléo-Protéagineux : Colza, tournesol, soja  (y c. sem)"
2003,"Protéagineux et légumes secs (pois, fève, ...),(y c. sem)"
2015,Autre grandes cultures
2501,Maïs fourrage et ensilage
3001,Betterave industrielle (sucrière) (y c. semences)
4001,Carotte (hors semences)
4002,"Choux feuilles, fleurs, brocolis  (hors sem, choucroute)"
4003,Fraise (hors semences)
4004,Haricot vert et beurre (hors semences)
4005,Melon (hors semences)
4006,Poireau (hors semences)
4007,"Salade y compris mâche (hors sem), hors endive"
4008,Tomate (hors semences)
4009,Pomme de terre (hors semences)
4031,Autres légumes et cultures vivrières (DOM) (hors sem)
8006,Forêt y compris truffières
9001,Sol artificialisé en zone agricole
9002,Sol artificialisé en zone non agricole
9504,"Prairies artificielles :(lotier, luzerne, minette,…)"
9505,Prairies temporaires (semées depuis moins de 6 ans )
9507,Prairie permanente productive
9508,"Prairie permanente peu productive : (causse,…)"
9601,"Fleurs, pltes ornementales, pépinières (hors légumes)"
9602,Vergers
9603,Vignes
9608,Banane (DOM)
9701,Jachère en sol nu (hors jachères industrielles)
9702,Jachère avec couvert végétal spontané (hors jach ind)
9703,Jachère avec couvert végétal semé (hors jach ind)
9706,Parcelle abandonnée en friche ou arrachée
9888,Ne sait pas
