modality_code,label
01,(N) solution azotée
02,(N+S) solution azotée soufrée
03,(N) ammonitrate
04,(N+S) ammonitrate enrichi en soufre
05,(N) urée
06,(N) ammoniac
07,(N) nitrate de soude
08,(N) nitrate de chaux
09,(N+S) sulfate d’ammoniaque
10,(N+S) sulfate d’ammoniaque et urée
11,(N+S) sulfonitrate
12,(N) autre engrais azoté
13,(P) phosphate naturel
14,(P) scories thomas
15,(P) superphosphate
16,(P+S) phosphore et soufre
17,(K) chlorure de potassium
18,(K+S) sulfate de potassium
19,(K) autre potassique
20,"(NP) Phosphate d’ammoniaque (MAP, DAP)"
21,(NP) Autre azote et phosphore
22,"(NP+S) Autre engrais azote, phosphore et soufre"
23,(NK) Azote et potassium
24,"(NK+S) Azote, potassium et soufre"
25,(PK) (super)phosphopotassique
26,(PK) superpotassique
27,"(PK+S) potassium, phosphore et soufre"
28,"(NPK) azote, phosphore et potassium"
29,"(NPK+S) azote, phosphore, potassium et soufre"
30,(S) soufre
31,"(NP, NK, NPK +S) engrais organo-minéral normé/homologué avec ou sans soufre"
32,"(NP, NK, NPK +S) engrais organique normé/homologué avec ou sans  soufre"
33,(S+Mg) sulfate de magnésie
34,(N+Mg) nitrate de magnésie
35,Autres (composition en commentaire)
99,Sans Objet
