modality_code,label
01,"Accrochage, tuteurage (y compris pose et retrait tuteur, fil tuteurage)"
02,"Aération manuelle : serres, tunnels, chenilles, perforation"
03,Badigeonnage plaie d'effeuillage ou de taille
04,Blanchiment des plastiques ou verre des abris
05,Défanage (hors chimique)
06,"Désinfection des abris (thermique, chimique spécifique)"
07,"Ebourgeonnage, écimage, étêtage, Pinçage, taille"
08,Éclaircissage fruits et « démariage » légumes
09,Effeuillage
10,"Lavage, nettoyage des abris"
11,Mise en place pollinisateur
12,"Pose et retrait : cuvettes, panneaux, pièges / parasites (colorés, englués, phéromones,... etc)"
13,"Pose et retrait matériel(s) : Paillage (film,...), abris, support culture et substrat (Hors-sol), irrigation"
14,Retrait (feuilles ou fruits malades)
15,"Retrait (gourmands, stolons,..)"
16,Vibration fleur (pollinisation)
17,"Désherbage (hors chimique) : Manuel,..."
18,"Autre (uniquement principales, nom en commentaire)"
