modality_code,label
01,Destruction mécanique du précédent
02,Destruction thermique du précédent
03,Travail superficiel du sol < 8 cm
04,"Travail superficiel du sol entre 8 et 15 cm,"
05,"Travail profond du sol (>15 cm), hors labour, bêchage, sous solage"
06,Sous solage
07,"Labour, bêchage"
08,"Roulage, tassage"
09,Semis ou plantation culture principale
10,Semis ou plantation sous-couvert (intermédiaire ou derobée)
11,Semis ou plantation direct (sans aucune préparation du sol préalable)
12,"Butage, chaussage"
13,"Désherbage (hors chimique) : Manuel,..."
14,Désherbage Thermique
15,"Épierrage, enfouisseur de pierres"
16,Sablage
17,"Désinfection du sol par solarisation,"
18,"Désinfection du sol thermique : vapeur d'eau,…"
19,Traçage sillon de plantation
20,"Autres (uniquement principales, notez liste en commentaire)"
