variable,label
110,Travail superficiel du sol < 8 cm - Déchaumeur
120,Travail superficiel du sol < 8 cm - Vibroculteur
131,Travail superficiel du sol < 8 cm - Herse
132,Travail superficiel du sol < 8 cm - Herse animée
133,Travail superficiel du sol < 8 cm - Herse étrille
140,Travail superficiel du sol < 8 cm - Striptill
150,Travail superficiel du sol < 8 cm - Bineuse - Sarcleuse
160,Travail superficiel du sol < 8 cm - Ecrouteuse - Houe rotative ou picoteuse
170,Travail superficiel du sol < 8 cm - Desherbineuse
180,Travail superficiel du sol < 8 cm - Outil combiné désherbage mécanique et chimique
190,Travail superficiel du sol < 8 cm - Autres
210,Travail superficiel du sol entre 8 et 15 cm - Déchaumeur
220,Travail superficiel du sol entre 8 et 15 cm - Déchaumeur animé
230,Travail superficiel du sol entre 8 et 15 cm - Pulvériseur
240,Travail superficiel du sol entre 8 et 15 cm - Striptill
250,Travail superficiel du sol entre 8 et 15 cm - Cultivateur animé ou herse animée
260,Travail superficiel du sol entre 8 et 15 cm - Autres
310,Travail profond du sol sans retournement (>15 cm) - Sous-soleuse
320,Travail profond du sol sans retournement (>15 cm) - Décompacteur
330,Travail profond du sol sans retournement (>15 cm) - Cultivateur lourd ou chisel
340,Travail profond du sol sans retournement (>15 cm) - Cultivateur léger
350,Travail profond du sol sans retournement (>15 cm) - Pulvériseur
360,Travail profond du sol sans retournement (>15 cm) - Rotobêche
370,Travail profond du sol sans retournement (>15 cm) - Autres
410,Labour - Charrue versoir
420,Labour - Charrue à disque
430,Labour - Autres
510,Roulage - Rouleau lisse
520,Roulage - Rouleau non lisse
530,Roulage - Autres
611,Semis/plantation culture principale - Semoir à semis direct
612,Semis/plantation culture principale - Semoirs/outils de plantation non combinés
613,Semis/plantation culture principale - Combiné préparation du sol-semis
614,Semis/plantation culture principale - Combiné fertilisation-semis
615,Semis/plantation culture principale - Combiné phytosanitaire-semis
616,(DOM) plantation mécanique des boutures de canne
621,Semis couvert (intermédiaire ou dérobée) - Semoir à semis direct
622,Semis couvert (intermédiaire ou dérobée) - Autres semoirs non combiné
623,Semis couvert (intermédiaire ou dérobée) - Combiné préparation du sol-semis
711,Buttage
712,Défanage
721,(DOM) arrachage mécanique des anciennes souches de canne
722,(DOM) recouvrement mécanique des boutures de canne
723,(DOM) épierrage fin
724,(DOM) épierrage grossier
725,(DOM) broyage des pierres
810,Récolte culture principale
811,(DOM) coupe mécanique de la canne
812,(DOM) chargement mécanique de la canne
820,Récolte culture dérobée
910,Entretien prairie - Fauche ou broyage des refus
920,Entretien prairie - Étaupinage
930,Entretien prairie - Ébousage
940,Entretien prairie - Émoussage
950,Entretien prairie - Autre entretien de prairie
