modality_code,label
1:questionnaire à enquêter2:fin questionnaire,1:questionnaire à enquêter2:fin questionnaire
1:questionnaire à enquêter2:fin questionnaire,1:questionnaire à enquêter2:fin questionnaire
1,questionnaire à enquêter2:fin questionnaire
parcelle non enquêtée3:fin questionnaire,parcelle non enquêtée3:fin questionnaire
parcelle non enquêtée3:fin questionnaire,parcelle non enquêtée3:fin questionnaire
parcelle non enquêtée3,fin questionnaire
strate non conforme,strate non conforme
strate non conforme,strate non conforme
strate non conforme,strate non conforme
parcelle non remplacée,parcelle non remplacée
parcelle non remplacée,parcelle non remplacée
parcelle non remplacée,parcelle non remplacée
