modality_code,label
911,101-14 MILLARDET DE GRASSET9
909,110 RICHTER9
952,1103 PAULSEN9
950,140 RUGGERI9
953,1447 PAULSEN9
904,161-49 COUDERC9
926,196-17 CASTEL9
902,3309 COUDERC9
917,333 ECOLE DE MONTPELLIER9
927,34 ECOLE DE MONTPELLIER9
930,4010 CASTEL9
903,41 B MILLARDET DE GRASSET9
910,420 A MILLARDET DE GRASSET9
908,44-53 MALEGUE9
907,99 RICHTER3
309,COUDERC9
932,FERCAL9
934,GRAVESAC9
928,KOBER 125 AA9
905,Kober 5 B B.9
982,RESSEGUIER SELECTION BIROLLEA9
960,RIPARIA9
906,RIPARIA GLOIRE DE MONTPELLIER9
901,RUPESTRIS DU LOT9
913,SELECTION OPPENHEIM 49
958,TELEKI 5 C9
922,TELEKI 8 B9
912,VIALLA9
999,_AUTRE8
888,_INCONNU
