modality_code,label
01,Alsace conventionnel
02,Alsace bio
03,Beaujolais
04,Bordelais conventionnel
05,Bordelais bio
06,Bouches-du-Rhône conventionnel
07,Bouches-du-Rhône bio
08,Bourgogne
09,Champagne
10,Charentes
11,Dordogne
12,Languedoc hors PO conventionnel
13,Languedoc hors PO bio
14,Pyrénées-Orientales
15,Provence (Var-Vaucluse) conventionnel
16,Provence (Var-Vaucluse) bio
17,Val de Loire conventionnel
18,Val de Loire bio
19,Gers
20,Gaillac
21,Cahors
22,Cher
23,Côtes-du-Rhône Nord
24,Côtes-du-Rhône Sud conventionnel
25,Côtes-du-Rhône Sud bio
26,Lot-et-Garonne
27,Corse
28,Bugey Savoie
29,Jura
