modality_code,label
aucun = 0,aucun = 0
aucun,0
plante de service = 1,plante de service = 1
plante de service,1
enherbement permanent semé ou planté = 2,enherbement permanent semé ou planté = 2
enherbement permanent semé ou planté,2
enherbement permanent naturel = 3,enherbement permanent naturel = 3
enherbement permanent naturel,3
enherbement temporaire semé ou planté = 4,enherbement temporaire semé ou planté = 4
enherbement temporaire semé ou planté,4
enherbement temporaire naturel = 5,enherbement temporaire naturel = 5
enherbement temporaire naturel,5
