modality_code,label
concatenation AFER,concatenation AFER
concatenation AFER,concatenation AFER
concatenation AFER,concatenation AFER
ABORE,ABORE
ABORE,ABORE
ABORE,ABORE
AZINC,AZINC
AZINC,AZINC
AZINC,AZINC
ACUIVRE,ACUIVRE
ACUIVRE,ACUIVRE
ACUIVRE,ACUIVRE
AMANGA,AMANGA
AMANGA,AMANGA
AMANGA,AMANGA
AMOLYBD,AMOLYBD
AMOLYBD,AMOLYBD
AMOLYBD,AMOLYBD
AALGUE,AALGUE
AALGUE,AALGUE
AALGUE,AALGUE
AMAGNE,AMAGNE
AMAGNE,AMAGNE
AMAGNE,AMAGNE
ASOUFRE,ASOUFRE
ASOUFRE,ASOUFRE
ASOUFRE,ASOUFRE
ACALC,ACALC
ACALC,ACALC
ACALC,ACALC
