modality_code,label
02,02
02,02
02,02
Carotte03,Carotte03
Carotte03,Carotte03
Carotte03,Carotte03
"Choux fleur, Brocoli à jets et Romanesco 04","Choux fleur, Brocoli à jets et Romanesco 04"
"Choux fleur, Brocoli à jets et Romanesco 04","Choux fleur, Brocoli à jets et Romanesco 04"
"Choux fleur, Brocoli à jets et Romanesco 04","Choux fleur, Brocoli à jets et Romanesco 04"
Autres choux (hors chou à choucroute) 05,Autres choux (hors chou à choucroute) 05
Autres choux (hors chou à choucroute) 05,Autres choux (hors chou à choucroute) 05
Autres choux (hors chou à choucroute) 05,Autres choux (hors chou à choucroute) 05
Tous choux06,Tous choux06
Tous choux06,Tous choux06
Tous choux06,Tous choux06
Fraise07,Fraise07
Fraise07,Fraise07
Fraise07,Fraise07
Melon09,Melon09
Melon09,Melon09
Melon09,Melon09
Poireau10,Poireau10
Poireau10,Poireau10
Poireau10,Poireau10
Salade y compris mâche (hors endive)11,Salade y compris mâche (hors endive)11
Salade y compris mâche (hors endive)11,Salade y compris mâche (hors endive)11
Salade y compris mâche (hors endive)11,Salade y compris mâche (hors endive)11
Tomate,Tomate
Tomate,Tomate
Tomate,Tomate
