modality_code,label
1,1
1,1
1,1
Absinthe2,Absinthe2
Absinthe2,Absinthe2
Absinthe2,Absinthe2
Achillée3,Achillée3
Achillée3,Achillée3
Achillée3,Achillée3
Ail4,Ail4
Ail4,Ail4
Ail4,Ail4
Bardane5,Bardane5
Bardane5,Bardane5
Bardane5,Bardane5
Camomille vraie6,Camomille vraie6
Camomille vraie6,Camomille vraie6
Camomille vraie6,Camomille vraie6
Capucine7,Capucine7
Capucine7,Capucine7
Capucine7,Capucine7
Consoude8,Consoude8
Consoude8,Consoude8
Consoude8,Consoude8
Euphorbe épurge9,Euphorbe épurge9
Euphorbe épurge9,Euphorbe épurge9
Euphorbe épurge9,Euphorbe épurge9
Fougère aigle10,Fougère aigle10
Fougère aigle10,Fougère aigle10
Fougère aigle10,Fougère aigle10
Fougère mâle11,Fougère mâle11
Fougère mâle11,Fougère mâle11
Fougère mâle11,Fougère mâle11
Lavande12,Lavande12
Lavande12,Lavande12
Lavande12,Lavande12
Lierre13,Lierre13
Lierre13,Lierre13
Lierre13,Lierre13
Mélisse14,Mélisse14
Mélisse14,Mélisse14
Mélisse14,Mélisse14
Menthe15,Menthe15
Menthe15,Menthe15
Menthe15,Menthe15
Ortie16,Ortie16
Ortie16,Ortie16
Ortie16,Ortie16
Pissenlit17,Pissenlit17
Pissenlit17,Pissenlit17
Pissenlit17,Pissenlit17
Prêle18,Prêle18
Prêle18,Prêle18
Prêle18,Prêle18
Pyrèthre19,Pyrèthre19
Pyrèthre19,Pyrèthre19
Pyrèthre19,Pyrèthre19
Raifort20,Raifort20
Raifort20,Raifort20
Raifort20,Raifort20
Rhubarbe21,Rhubarbe21
Rhubarbe21,Rhubarbe21
Rhubarbe21,Rhubarbe21
Rue22,Rue22
Rue22,Rue22
Rue22,Rue22
Rumex23,Rumex23
Rumex23,Rumex23
Rumex23,Rumex23
Saponaire24,Saponaire24
Saponaire24,Saponaire24
Saponaire24,Saponaire24
Sauge25,Sauge25
Sauge25,Sauge25
Sauge25,Sauge25
Souci26,Souci26
Souci26,Souci26
Souci26,Souci26
Sureau27,Sureau27
Sureau27,Sureau27
Sureau27,Sureau27
Tanaisie28,Tanaisie28
Tanaisie28,Tanaisie28
Tanaisie28,Tanaisie28
Tomate29,Tomate29
Tomate29,Tomate29
Tomate29,Tomate29
Valériane vraie88,Valériane vraie88
Valériane vraie88,Valériane vraie88
Valériane vraie88,Valériane vraie88
_Autre,_Autre
_Autre,_Autre
_Autre,_Autre
