modality_code,label
1,1
1,1
1,1
Passage de produit commercial2,Passage de produit commercial2
Passage de produit commercial2,Passage de produit commercial2
Passage de produit commercial2,Passage de produit commercial2
Passage de préparation biologique3,Passage de préparation biologique3
Passage de préparation biologique3,Passage de préparation biologique3
Passage de préparation biologique3,Passage de préparation biologique3
Lâcher d'auxiliaires4,Lâcher d'auxiliaires4
Lâcher d'auxiliaires4,Lâcher d'auxiliaires4
Lâcher d'auxiliaires4,Lâcher d'auxiliaires4
Piégeages massifs,Piégeages massifs
Piégeages massifs,Piégeages massifs
Piégeages massifs,Piégeages massifs
