modality_code,label
AUT0001,AUT0001
AUT0001,AUT0001
AUT0001,AUT0001
Décoction achetéeAUT0002,Décoction achetéeAUT0002
Décoction achetéeAUT0002,Décoction achetéeAUT0002
Décoction achetéeAUT0002,Décoction achetéeAUT0002
Décoction auto-produiteAUT0003,Décoction auto-produiteAUT0003
Décoction auto-produiteAUT0003,Décoction auto-produiteAUT0003
Décoction auto-produiteAUT0003,Décoction auto-produiteAUT0003
"Purin, extrait fermenté achetéAUT0004","Purin, extrait fermenté achetéAUT0004"
"Purin, extrait fermenté achetéAUT0004","Purin, extrait fermenté achetéAUT0004"
"Purin, extrait fermenté achetéAUT0004","Purin, extrait fermenté achetéAUT0004"
"Purin, extrait fermenté auto-produitAUT0005","Purin, extrait fermenté auto-produitAUT0005"
"Purin, extrait fermenté auto-produitAUT0005","Purin, extrait fermenté auto-produitAUT0005"
"Purin, extrait fermenté auto-produitAUT0005","Purin, extrait fermenté auto-produitAUT0005"
Infusion achetéeAUT0006,Infusion achetéeAUT0006
Infusion achetéeAUT0006,Infusion achetéeAUT0006
Infusion achetéeAUT0006,Infusion achetéeAUT0006
Infusion auto-produiteAUT0007,Infusion auto-produiteAUT0007
Infusion auto-produiteAUT0007,Infusion auto-produiteAUT0007
Infusion auto-produiteAUT0007,Infusion auto-produiteAUT0007
Macération achetéeAUT0008,Macération achetéeAUT0008
Macération achetéeAUT0008,Macération achetéeAUT0008
Macération achetéeAUT0008,Macération achetéeAUT0008
Macération auto-produiteAUT0009,Macération auto-produiteAUT0009
Macération auto-produiteAUT0009,Macération auto-produiteAUT0009
Macération auto-produiteAUT0009,Macération auto-produiteAUT0009
_Autre préparation biologique,_Autre préparation biologique
_Autre préparation biologique,_Autre préparation biologique
_Autre préparation biologique,_Autre préparation biologique
