modality_code,label
99,99
99,99
99,99
_Autre piége35,_Autre piége35
_Autre piége35,_Autre piége35
_Autre piége35,_Autre piége35
Bug-Scan DRY jaune36,Bug-Scan DRY jaune36
Bug-Scan DRY jaune36,Bug-Scan DRY jaune36
Bug-Scan DRY jaune36,Bug-Scan DRY jaune36
Bug-Scan Ivog bleu 37,Bug-Scan Ivog bleu 37
Bug-Scan Ivog bleu 37,Bug-Scan Ivog bleu 37
Bug-Scan Ivog bleu 37,Bug-Scan Ivog bleu 37
Bug-Scan Ivog jaune 38,Bug-Scan Ivog jaune 38
Bug-Scan Ivog jaune 38,Bug-Scan Ivog jaune 38
Bug-Scan Ivog jaune 38,Bug-Scan Ivog jaune 38
Bug-Scan ROLL bleu (rouleau adhésif) 40,Bug-Scan ROLL bleu (rouleau adhésif) 40
Bug-Scan ROLL bleu (rouleau adhésif) 40,Bug-Scan ROLL bleu (rouleau adhésif) 40
Bug-Scan ROLL bleu (rouleau adhésif) 40,Bug-Scan ROLL bleu (rouleau adhésif) 40
Bug-Scan ROLL jaune (rouleau adhésif)39,Bug-Scan ROLL jaune (rouleau adhésif)39
Bug-Scan ROLL jaune (rouleau adhésif)39,Bug-Scan ROLL jaune (rouleau adhésif)39
Bug-Scan ROLL jaune (rouleau adhésif)39,Bug-Scan ROLL jaune (rouleau adhésif)39
Bug-Scan ROLL jaune(rouleau adhésif)41,Bug-Scan ROLL jaune(rouleau adhésif)41
Bug-Scan ROLL jaune(rouleau adhésif)41,Bug-Scan ROLL jaune(rouleau adhésif)41
Bug-Scan ROLL jaune(rouleau adhésif)41,Bug-Scan ROLL jaune(rouleau adhésif)41
Bug-Scan ROLL MINI jaune  mini-rouleaux)26,Bug-Scan ROLL MINI jaune  mini-rouleaux)26
Bug-Scan ROLL MINI jaune  mini-rouleaux)26,Bug-Scan ROLL MINI jaune  mini-rouleaux)26
Bug-Scan ROLL MINI jaune  mini-rouleaux)26,Bug-Scan ROLL MINI jaune  mini-rouleaux)26
Cuvette attractive autre couleur avec liquide attractif 27,Cuvette attractive autre couleur avec liquide attractif 27
Cuvette attractive autre couleur avec liquide attractif 27,Cuvette attractive autre couleur avec liquide attractif 27
Cuvette attractive autre couleur avec liquide attractif 27,Cuvette attractive autre couleur avec liquide attractif 27
Cuvette attractive autre couleur avec phéromone 24,Cuvette attractive autre couleur avec phéromone 24
Cuvette attractive autre couleur avec phéromone 24,Cuvette attractive autre couleur avec phéromone 24
Cuvette attractive autre couleur avec phéromone 24,Cuvette attractive autre couleur avec phéromone 24
Cuvette attractive blanche avec liquide attractif 25,Cuvette attractive blanche avec liquide attractif 25
Cuvette attractive blanche avec liquide attractif 25,Cuvette attractive blanche avec liquide attractif 25
Cuvette attractive blanche avec liquide attractif 25,Cuvette attractive blanche avec liquide attractif 25
Cuvette attractive blanche avec phéromone22,Cuvette attractive blanche avec phéromone22
Cuvette attractive blanche avec phéromone22,Cuvette attractive blanche avec phéromone22
Cuvette attractive blanche avec phéromone22,Cuvette attractive blanche avec phéromone22
Cuvette attractive jaune avec liquide attractif 23,Cuvette attractive jaune avec liquide attractif 23
Cuvette attractive jaune avec liquide attractif 23,Cuvette attractive jaune avec liquide attractif 23
Cuvette attractive jaune avec liquide attractif 23,Cuvette attractive jaune avec liquide attractif 23
Cuvette attractive jaune avec phéromone29,Cuvette attractive jaune avec phéromone29
Cuvette attractive jaune avec phéromone29,Cuvette attractive jaune avec phéromone29
Cuvette attractive jaune avec phéromone29,Cuvette attractive jaune avec phéromone29
Droso-Trap NEW avec multi-trous10,Droso-Trap NEW avec multi-trous10
Droso-Trap NEW avec multi-trous10,Droso-Trap NEW avec multi-trous10
Droso-Trap NEW avec multi-trous10,Droso-Trap NEW avec multi-trous10
Panneau englué blanc (avec phéromone)5,Panneau englué blanc (avec phéromone)5
Panneau englué blanc (avec phéromone)5,Panneau englué blanc (avec phéromone)5
Panneau englué blanc (avec phéromone)5,Panneau englué blanc (avec phéromone)5
Panneau englué blanc (sans phéromone)6,Panneau englué blanc (sans phéromone)6
Panneau englué blanc (sans phéromone)6,Panneau englué blanc (sans phéromone)6
Panneau englué blanc (sans phéromone)6,Panneau englué blanc (sans phéromone)6
Panneau englué bleu (avec phéromone)1,Panneau englué bleu (avec phéromone)1
Panneau englué bleu (avec phéromone)1,Panneau englué bleu (avec phéromone)1
Panneau englué bleu (avec phéromone)1,Panneau englué bleu (avec phéromone)1
"Panneau englué bleu (sans phéromone), Taki Trap7","Panneau englué bleu (sans phéromone), Taki Trap7"
