modality_code,label
Cible multi,aléa
Cible multi,prépondérant
cible unique,cible unique
cible unique,cible unique
cible unique,cible unique
culture,culture
culture,culture
culture,culture
manquant,manquant
manquant,manquant
manquant,manquant
mauvais usage cultures,mauvais usage cultures
mauvais usage cultures,mauvais usage cultures
mauvais usage cultures,mauvais usage cultures
mauvais autres usage cultures,mauvais autres usage cultures
mauvais autres usage cultures,mauvais autres usage cultures
mauvais autres usage cultures,mauvais autres usage cultures
NA,NA
NA,NA
NA,NA
