modality_code,label
1,1
1,1
1,1
Non chauffé2,Non chauffé2
Non chauffé2,Non chauffé2
Non chauffé2,Non chauffé2
Tenu hors gel3,Tenu hors gel3
Tenu hors gel3,Tenu hors gel3
Tenu hors gel3,Tenu hors gel3
Chauffé entre hors gel et 15°C4,Chauffé entre hors gel et 15°C4
Chauffé entre hors gel et 15°C4,Chauffé entre hors gel et 15°C4
Chauffé entre hors gel et 15°C4,Chauffé entre hors gel et 15°C4
Maintenu au-dessus de 15°C,Maintenu au-dessus de 15°C
Maintenu au-dessus de 15°C,Maintenu au-dessus de 15°C
Maintenu au-dessus de 15°C,Maintenu au-dessus de 15°C
