modality_code,label
0,0
0,0
0,0
Non1,Non1
Non1,Non1
Non1,Non1
Agriculture biologique certifiée (AB)2,Agriculture biologique certifiée (AB)2
Agriculture biologique certifiée (AB)2,Agriculture biologique certifiée (AB)2
Agriculture biologique certifiée (AB)2,Agriculture biologique certifiée (AB)2
Biodynamie certifiée  (dont Demeter)3,Biodynamie certifiée  (dont Demeter)3
Biodynamie certifiée  (dont Demeter)3,Biodynamie certifiée  (dont Demeter)3
Biodynamie certifiée  (dont Demeter)3,Biodynamie certifiée  (dont Demeter)3
"Autre mode biologique certifié (nature et progrès,...)4","Autre mode biologique certifié (nature et progrès,...)4"
"Autre mode biologique certifié (nature et progrès,...)4","Autre mode biologique certifié (nature et progrès,...)4"
"Autre mode biologique certifié (nature et progrès,...)4","Autre mode biologique certifié (nature et progrès,...)4"
Mode biologique non certifié,Mode biologique non certifié
Mode biologique non certifié,Mode biologique non certifié
Mode biologique non certifié,Mode biologique non certifié
