modality_code,label
1,1
1,1
1,1
Fibre de coco2,Fibre de coco2
Fibre de coco2,Fibre de coco2
Fibre de coco2,Fibre de coco2
Laine de roche3,Laine de roche3
Laine de roche3,Laine de roche3
Laine de roche3,Laine de roche3
Tourbe + écorce4,Tourbe + écorce4
Tourbe + écorce4,Tourbe + écorce4
Tourbe + écorce4,Tourbe + écorce4
Autre organique5,Autre organique5
Autre organique5,Autre organique5
Autre organique5,Autre organique5
Autre minéral8,Autre minéral8
Autre minéral8,Autre minéral8
Autre minéral8,Autre minéral8
Ne sait pas,Ne sait pas
Ne sait pas,Ne sait pas
Ne sait pas,Ne sait pas
