modality_code,label
1,1
1,1
1,1
Ouvert2,Ouvert2
Ouvert2,Ouvert2
Ouvert2,Ouvert2
Déchiré perforé3,Déchiré perforé3
Déchiré perforé3,Déchiré perforé3
Déchiré perforé3,Déchiré perforé3
"Laissé en état (film à trous,...)4","Laissé en état (film à trous,...)4"
"Laissé en état (film à trous,...)4","Laissé en état (film à trous,...)4"
"Laissé en état (film à trous,...)4","Laissé en état (film à trous,...)4"
Enlevé5,Enlevé5
Enlevé5,Enlevé5
Enlevé5,Enlevé5
Remplacé,Remplacé
Remplacé,Remplacé
Remplacé,Remplacé
