modality_code,label
1,1
1,1
1,1
Enlevée en vue d'être réutilisée2,Enlevée en vue d'être réutilisée2
Enlevée en vue d'être réutilisée2,Enlevée en vue d'être réutilisée2
Enlevée en vue d'être réutilisée2,Enlevée en vue d'être réutilisée2
"Déchirée, perforée3","Déchirée, perforée3"
"Déchirée, perforée3","Déchirée, perforée3"
"Déchirée, perforée3","Déchirée, perforée3"
Laissée en état4,Laissée en état4
Laissée en état4,Laissée en état4
Laissée en état4,Laissée en état4
Remplacée,Remplacée
Remplacée,Remplacée
Remplacée,Remplacée
