modality_code,label
1,1
1,1
1,1
Coopérative ou OP2,Coopérative ou OP2
Coopérative ou OP2,Coopérative ou OP2
Coopérative ou OP2,Coopérative ou OP2
"Carreau, cadran, Min3","Carreau, cadran, Min3"
"Carreau, cadran, Min3","Carreau, cadran, Min3"
"Carreau, cadran, Min3","Carreau, cadran, Min3"
Expéditeur indépendant4,Expéditeur indépendant4
Expéditeur indépendant4,Expéditeur indépendant4
Expéditeur indépendant4,Expéditeur indépendant4
Centrale d'achat5,Centrale d'achat5
Centrale d'achat5,Centrale d'achat5
Centrale d'achat5,Centrale d'achat5
Industrie (transformation.)6,Industrie (transformation.)6
Industrie (transformation.)6,Industrie (transformation.)6
Industrie (transformation.)6,Industrie (transformation.)6
Vente directe,Circuit court 7
Mise au retrait (aide européenne)8,Mise au retrait (aide européenne)8
Mise au retrait (aide européenne)8,Mise au retrait (aide européenne)8
Mise au retrait (aide européenne)8,Mise au retrait (aide européenne)8
Non commercialisée9,Non commercialisée9
Non commercialisée9,Non commercialisée9
Non commercialisée9,Non commercialisée9
Autres modes,Autres modes
Autres modes,Autres modes
Autres modes,Autres modes
