modality_code,label
1,1
1,1
1,1
"Grandes cultures : céréales, oléagineux et protéagineux, légumes de plein champs, cultures industrielles2","Grandes cultures : céréales, oléagineux et protéagineux, légumes de plein champs, cultures industrielles2"
"Grandes cultures : céréales, oléagineux et protéagineux, légumes de plein champs, cultures industrielles2","Grandes cultures : céréales, oléagineux et protéagineux, légumes de plein champs, cultures industrielles2"
Grandes cultures,"céréales, oléagineux et protéagineux, légumes de plein champs, cultures industrielles2"
Maraîchage (y compris fraises et champignons)3,Maraîchage (y compris fraises et champignons)3
Maraîchage (y compris fraises et champignons)3,Maraîchage (y compris fraises et champignons)3
Maraîchage (y compris fraises et champignons)3,Maraîchage (y compris fraises et champignons)3
Horticulture ornementale et pépinières4,Horticulture ornementale et pépinières4
Horticulture ornementale et pépinières4,Horticulture ornementale et pépinières4
Horticulture ornementale et pépinières4,Horticulture ornementale et pépinières4
Viticulture 5,Viticulture 5
Viticulture 5,Viticulture 5
Viticulture 5,Viticulture 5
"Arboriculture : fruits, agrumes, oléiculture, petits fruits (hors fraise)6","Arboriculture : fruits, agrumes, oléiculture, petits fruits (hors fraise)6"
"Arboriculture : fruits, agrumes, oléiculture, petits fruits (hors fraise)6","Arboriculture : fruits, agrumes, oléiculture, petits fruits (hors fraise)6"
Arboriculture,"fruits, agrumes, oléiculture, petits fruits (hors fraise)6"
Elevage 7,Elevage 7
Elevage 7,Elevage 7
Elevage 7,Elevage 7
Polyculture,Elevage8
Exploitations non classées,Exploitations non classées
Exploitations non classées,Exploitations non classées
Exploitations non classées,Exploitations non classées
