modality_code,label
1,1
1,1
1,1
Légumes2,Légumes2
Légumes2,Légumes2
Légumes2,Légumes2
"Grandes cultures, prairies et Cipan3","Grandes cultures, prairies et Cipan3"
"Grandes cultures, prairies et Cipan3","Grandes cultures, prairies et Cipan3"
"Grandes cultures, prairies et Cipan3","Grandes cultures, prairies et Cipan3"
Autres (dont jachères)4,Autres (dont jachères)4
Autres (dont jachères)4,Autres (dont jachères)4
Autres (dont jachères)4,Autres (dont jachères)4
Ne sait pas,Ne sait pas
Ne sait pas,Ne sait pas
Ne sait pas,Ne sait pas
