modality_code,label
9608,9608
9608,9608
9608,9608
Banane (DOM)1900,Banane (DOM)1900
Banane (DOM)1900,Banane (DOM)1900
Banane (DOM)1900,Banane (DOM)1900
Étendue d'eau asséchée9601,Étendue d'eau asséchée9601
Étendue d'eau asséchée9601,Étendue d'eau asséchée9601
Étendue d'eau asséchée9601,Étendue d'eau asséchée9601
"Fleurs, plantes ornementales, pépinières (hors légumes)8006","Fleurs, plantes ornementales, pépinières (hors légumes)8006"
"Fleurs, plantes ornementales, pépinières (hors légumes)8006","Fleurs, plantes ornementales, pépinières (hors légumes)8006"
"Fleurs, plantes ornementales, pépinières (hors légumes)8006","Fleurs, plantes ornementales, pépinières (hors légumes)8006"
Forêt y compris truffières9704,Forêt y compris truffières9704
Forêt y compris truffières9704,Forêt y compris truffières9704
Forêt y compris truffières9704,Forêt y compris truffières9704
Jachère avec couvert végétal 9701,Jachère avec couvert végétal 9701
Jachère avec couvert végétal 9701,Jachère avec couvert végétal 9701
Jachère avec couvert végétal 9701,Jachère avec couvert végétal 9701
Jachère en sol nu (hors jachères industrielles)9706,Jachère en sol nu (hors jachères industrielles)9706
Jachère en sol nu (hors jachères industrielles)9706,Jachère en sol nu (hors jachères industrielles)9706
Jachère en sol nu (hors jachères industrielles)9706,Jachère en sol nu (hors jachères industrielles)9706
Parcelle abandonnée en friche ou arrachée9003,Parcelle abandonnée en friche ou arrachée9003
Parcelle abandonnée en friche ou arrachée9003,Parcelle abandonnée en friche ou arrachée9003
Parcelle abandonnée en friche ou arrachée9003,Parcelle abandonnée en friche ou arrachée9003
Sol artificialisé9604,Sol artificialisé9604
Sol artificialisé9604,Sol artificialisé9604
Sol artificialisé9604,Sol artificialisé9604
"Vergers, vignes8888","Vergers, vignes8888"
"Vergers, vignes8888","Vergers, vignes8888"
"Vergers, vignes8888","Vergers, vignes8888"
Autres,Autres
Autres,Autres
Autres,Autres
