modality_code,label
4001,4001
4001,4001
4001,4001
Carotte 4002,Carotte 4002
Carotte 4002,Carotte 4002
Carotte 4002,Carotte 4002
"Choux feuilles, fleurs, brocolis  (hors choucroute)4003","Choux feuilles, fleurs, brocolis  (hors choucroute)4003"
"Choux feuilles, fleurs, brocolis  (hors choucroute)4003","Choux feuilles, fleurs, brocolis  (hors choucroute)4003"
"Choux feuilles, fleurs, brocolis  (hors choucroute)4003","Choux feuilles, fleurs, brocolis  (hors choucroute)4003"
Fraise 4004,Fraise 4004
Fraise 4004,Fraise 4004
Fraise 4004,Fraise 4004
Haricot vert et beurre4005,Haricot vert et beurre4005
Haricot vert et beurre4005,Haricot vert et beurre4005
Haricot vert et beurre4005,Haricot vert et beurre4005
Melon 4006,Melon 4006
Melon 4006,Melon 4006
Melon 4006,Melon 4006
Poireau 4007,Poireau 4007
Poireau 4007,Poireau 4007
Poireau 4007,Poireau 4007
Salade y compris mâche ( hors endive)4008,Salade y compris mâche ( hors endive)4008
Salade y compris mâche ( hors endive)4008,Salade y compris mâche ( hors endive)4008
Salade y compris mâche ( hors endive)4008,Salade y compris mâche ( hors endive)4008
Tomate 4009,Tomate 4009
Tomate 4009,Tomate 4009
Tomate 4009,Tomate 4009
Pomme de terre4031,Pomme de terre4031
Pomme de terre4031,Pomme de terre4031
Pomme de terre4031,Pomme de terre4031
Autres légumes ou autres cultures vivrières (DOM),Autres légumes ou autres cultures vivrières (DOM)
Autres légumes ou autres cultures vivrières (DOM),Autres légumes ou autres cultures vivrières (DOM)
Autres légumes ou autres cultures vivrières (DOM),Autres légumes ou autres cultures vivrières (DOM)
