modality_code,label
3001,3001
3001,3001
3001,3001
Betterave industrielle (sucrière) (y c. semences)1001,Betterave industrielle (sucrière) (y c. semences)1001
Betterave industrielle (sucrière) (y c. semences)1001,Betterave industrielle (sucrière) (y c. semences)1001
Betterave industrielle (sucrière) (y c. semences)1001,Betterave industrielle (sucrière) (y c. semences)1001
"Céréales à pailles (y c. semences), maïs grain, riz, …1030","Céréales à pailles (y c. semences), maïs grain, riz, …1030"
"Céréales à pailles (y c. semences), maïs grain, riz, …1030","Céréales à pailles (y c. semences), maïs grain, riz, …1030"
"Céréales à pailles (y c. semences), maïs grain, riz, …1030","Céréales à pailles (y c. semences), maïs grain, riz, …1030"
"Cipan : autres (Graminées,…)1011","Cipan : autres (Graminées,…)1011"
"Cipan : autres (Graminées,…)1011","Cipan : autres (Graminées,…)1011"
Cipan,"autres (Graminées,…)1011"
Cipan : Crucifères1016,Cipan : Crucifères1016
Cipan : Crucifères1016,Cipan : Crucifères1016
Cipan,Crucifères1016
Cipan : Légumineuses dont mélange2501,Cipan : Légumineuses dont mélange2501
Cipan : Légumineuses dont mélange2501,Cipan : Légumineuses dont mélange2501
Cipan,Légumineuses dont mélange2501
Maïs fourrage et ensilage2001,Maïs fourrage et ensilage2001
Maïs fourrage et ensilage2001,Maïs fourrage et ensilage2001
Maïs fourrage et ensilage2001,Maïs fourrage et ensilage2001
"Oléo-Protéagineux : Colza, tournesol, soja  (y c. sem)9504","Oléo-Protéagineux : Colza, tournesol, soja  (y c. sem)9504"
"Oléo-Protéagineux : Colza, tournesol, soja  (y c. sem)9504","Oléo-Protéagineux : Colza, tournesol, soja  (y c. sem)9504"
Oléo-Protéagineux,"Colza, tournesol, soja  (y c. sem)9504"
"Prairies artificielles :(lotier, luzerne, minette,  …)9506","Prairies artificielles :(lotier, luzerne, minette,  …)9506"
"Prairies artificielles :(lotier, luzerne, minette,  …)9506","Prairies artificielles :(lotier, luzerne, minette,  …)9506"
Prairies artificielles,"(lotier, luzerne, minette,  …)9506"
Prairies temporaires ou permanentes2003,Prairies temporaires ou permanentes2003
Prairies temporaires ou permanentes2003,Prairies temporaires ou permanentes2003
Prairies temporaires ou permanentes2003,Prairies temporaires ou permanentes2003
"Protéagineux et légumes secs (pois, fève, ..),(y c. sem)1111","Protéagineux et légumes secs (pois, fève, ..),(y c. sem)1111"
"Protéagineux et légumes secs (pois, fève, ..),(y c. sem)1111","Protéagineux et légumes secs (pois, fève, ..),(y c. sem)1111"
"Protéagineux et légumes secs (pois, fève, ..),(y c. sem)1111","Protéagineux et légumes secs (pois, fève, ..),(y c. sem)1111"
Autres cultures y compris semences0306,Autres cultures y compris semences0306
Autres cultures y compris semences0306,Autres cultures y compris semences0306
Autres cultures y compris semences0306,Autres cultures y compris semences0306
Canne à sucre,Canne à sucre
Canne à sucre,Canne à sucre
Canne à sucre,Canne à sucre
