modality_code,label
1,1
1,1
1,1
Auto-produits2,Auto-produits2
Auto-produits2,Auto-produits2
Auto-produits2,Auto-produits2
"Achetés (coopérative, grossiste,...)3","Achetés (coopérative, grossiste,...)3"
"Achetés (coopérative, grossiste,...)3","Achetés (coopérative, grossiste,...)3"
"Achetés (coopérative, grossiste,...)3","Achetés (coopérative, grossiste,...)3"
Achetés directement à des producteurs de plants4,Achetés directement à des producteurs de plants4
Achetés directement à des producteurs de plants4,Achetés directement à des producteurs de plants4
Achetés directement à des producteurs de plants4,Achetés directement à des producteurs de plants4
Achat sur internet5,Achat sur internet5
Achat sur internet5,Achat sur internet5
Achat sur internet5,Achat sur internet5
Produits par un autre agriculteur6,Produits par un autre agriculteur6
Produits par un autre agriculteur6,Produits par un autre agriculteur6
Produits par un autre agriculteur6,Produits par un autre agriculteur6
Mélange,Mélange
Mélange,Mélange
Mélange,Mélange
