modality_code,label
1,1
1,1
1,1
systématique et habituelle2,systématique et habituelle2
systématique et habituelle2,systématique et habituelle2
systématique et habituelle2,systématique et habituelle2
stades clés de sensibilité3,stades clés de sensibilité3
stades clés de sensibilité3,stades clés de sensibilité3
stades clés de sensibilité3,stades clés de sensibilité3
observations sur la parcelle4,observations sur la parcelle4
observations sur la parcelle4,observations sur la parcelle4
observations sur la parcelle4,observations sur la parcelle4
connaissances historiques de la parcelle5,connaissances historiques de la parcelle5
connaissances historiques de la parcelle5,connaissances historiques de la parcelle5
connaissances historiques de la parcelle5,connaissances historiques de la parcelle5
relevés et prévisions météo6,relevés et prévisions météo6
relevés et prévisions météo6,relevés et prévisions météo6
relevés et prévisions météo6,relevés et prévisions météo6
type de produits7,type de produits7
type de produits7,type de produits7
type de produits7,type de produits7
bulletin de santé du végétal8,bulletin de santé du végétal8
bulletin de santé du végétal8,bulletin de santé du végétal8
bulletin de santé du végétal8,bulletin de santé du végétal8
conseils des fourniseurs (hors OP)9,conseils des fourniseurs (hors OP)9
conseils des fourniseurs (hors OP)9,conseils des fourniseurs (hors OP)9
conseils des fourniseurs (hors OP)9,conseils des fourniseurs (hors OP)9
conseils de l'OP ou du syndicat10,conseils de l'OP ou du syndicat10
conseils de l'OP ou du syndicat10,conseils de l'OP ou du syndicat10
conseils de l'OP ou du syndicat10,conseils de l'OP ou du syndicat10
outils de pilotage11,outils de pilotage11
outils de pilotage11,outils de pilotage11
outils de pilotage11,outils de pilotage11
recommandations d'organismes indépendants de la vente (hors OP)12,recommandations d'organismes indépendants de la vente (hors OP)12
recommandations d'organismes indépendants de la vente (hors OP)12,recommandations d'organismes indépendants de la vente (hors OP)12
recommandations d'organismes indépendants de la vente (hors OP)12,recommandations d'organismes indépendants de la vente (hors OP)12
conseils d'autres agriculteurs13,conseils d'autres agriculteurs13
conseils d'autres agriculteurs13,conseils d'autres agriculteurs13
conseils d'autres agriculteurs13,conseils d'autres agriculteurs13
préconisation de l'acheteur de la récolte 14,préconisation de l'acheteur de la récolte 14
préconisation de l'acheteur de la récolte 14,préconisation de l'acheteur de la récolte 14
préconisation de l'acheteur de la récolte 14,préconisation de l'acheteur de la récolte 14
autre,autre
autre,autre
autre,autre
