modality_code,label
1,1
1,1
1,1
Sous tunnel haut simple paroi2,Sous tunnel haut simple paroi2
Sous tunnel haut simple paroi2,Sous tunnel haut simple paroi2
Sous tunnel haut simple paroi2,Sous tunnel haut simple paroi2
Sous tunnel à paroi gonflable3,Sous tunnel à paroi gonflable3
Sous tunnel à paroi gonflable3,Sous tunnel à paroi gonflable3
Sous tunnel à paroi gonflable3,Sous tunnel à paroi gonflable3
Sous serre et/ou multi-chapelle4,Sous serre et/ou multi-chapelle4
Sous serre et/ou multi-chapelle4,Sous serre et/ou multi-chapelle4
Sous serre et/ou multi-chapelle4,Sous serre et/ou multi-chapelle4
"Autres abris hauts, dont végétal","Autres abris hauts, dont végétal"
"Autres abris hauts, dont végétal","Autres abris hauts, dont végétal"
"Autres abris hauts, dont végétal","Autres abris hauts, dont végétal"
