modality_code,label
1,1
1,1
1,1
Agrotextile2,Agrotextile2
Agrotextile2,Agrotextile2
Agrotextile2,Agrotextile2
Paillis organique3,Paillis organique3
Paillis organique3,Paillis organique3
Paillis organique3,Paillis organique3
Plastique blanc4,Plastique blanc4
Plastique blanc4,Plastique blanc4
Plastique blanc4,Plastique blanc4
Plastique herbistatique (coloré)5,Plastique herbistatique (coloré)5
Plastique herbistatique (coloré)5,Plastique herbistatique (coloré)5
Plastique herbistatique (coloré)5,Plastique herbistatique (coloré)5
Plastique noir6,Plastique noir6
Plastique noir6,Plastique noir6
Plastique noir6,Plastique noir6
Plastique transparent7,Plastique transparent7
Plastique transparent7,Plastique transparent7
Plastique transparent7,Plastique transparent7
Autre,Autre
Autre,Autre
Autre,Autre
