modality_code,label
1,1
1,1
1,1
Agriculture biologique certifiée (AB)2,Agriculture biologique certifiée (AB)2
Agriculture biologique certifiée (AB)2,Agriculture biologique certifiée (AB)2
Agriculture biologique certifiée (AB)2,Agriculture biologique certifiée (AB)2
Biodynamie certifiée  (dont Demeter)3,Biodynamie certifiée  (dont Demeter)3
Biodynamie certifiée  (dont Demeter)3,Biodynamie certifiée  (dont Demeter)3
Biodynamie certifiée  (dont Demeter)3,Biodynamie certifiée  (dont Demeter)3
"Autre mode biologique certifié (nature et progrès,...)4","Autre mode biologique certifié (nature et progrès,...)4"
"Autre mode biologique certifié (nature et progrès,...)4","Autre mode biologique certifié (nature et progrès,...)4"
"Autre mode biologique certifié (nature et progrès,...)4","Autre mode biologique certifié (nature et progrès,...)4"
Autre mode biologique non certifié,Autre mode biologique non certifié
Autre mode biologique non certifié,Autre mode biologique non certifié
Autre mode biologique non certifié,Autre mode biologique non certifié
