modality_code,label
0301,0301
0301,0301
0301,0301
Brocoli  précoce0302,Brocoli  précoce0302
Brocoli  précoce0302,Brocoli  précoce0302
Brocoli  précoce0302,Brocoli  précoce0302
Brocoli  d'été0303,Brocoli  d'été0303
Brocoli  d'été0303,Brocoli  d'été0303
Brocoli  d'été0303,Brocoli  d'été0303
Brocoli  d'automne0304,Brocoli  d'automne0304
Brocoli  d'automne0304,Brocoli  d'automne0304
Brocoli  d'automne0304,Brocoli  d'automne0304
Brocoli  d'hiver0305,Brocoli  d'hiver0305
Brocoli  d'hiver0305,Brocoli  d'hiver0305
Brocoli  d'hiver0305,Brocoli  d'hiver0305
Fleur blanc précoce0306,Fleur blanc précoce0306
Fleur blanc précoce0306,Fleur blanc précoce0306
Fleur blanc précoce0306,Fleur blanc précoce0306
Fleur blanc d'été0307,Fleur blanc d'été0307
Fleur blanc d'été0307,Fleur blanc d'été0307
Fleur blanc d'été0307,Fleur blanc d'été0307
Fleur blanc d'automne0308,Fleur blanc d'automne0308
Fleur blanc d'automne0308,Fleur blanc d'automne0308
Fleur blanc d'automne0308,Fleur blanc d'automne0308
Fleur blanc d'hiver0309,Fleur blanc d'hiver0309
Fleur blanc d'hiver0309,Fleur blanc d'hiver0309
Fleur blanc d'hiver0309,Fleur blanc d'hiver0309
Fleur couleur précoce0310,Fleur couleur précoce0310
Fleur couleur précoce0310,Fleur couleur précoce0310
Fleur couleur précoce0310,Fleur couleur précoce0310
Fleur couleur d'été0311,Fleur couleur d'été0311
Fleur couleur d'été0311,Fleur couleur d'été0311
Fleur couleur d'été0311,Fleur couleur d'été0311
Fleur couleur d'automne0312,Fleur couleur d'automne0312
Fleur couleur d'automne0312,Fleur couleur d'automne0312
Fleur couleur d'automne0312,Fleur couleur d'automne0312
Fleur couleur d'hiver0313,Fleur couleur d'hiver0313
Fleur couleur d'hiver0313,Fleur couleur d'hiver0313
Fleur couleur d'hiver0313,Fleur couleur d'hiver0313
Fleur romanesco précoce0314,Fleur romanesco précoce0314
Fleur romanesco précoce0314,Fleur romanesco précoce0314
Fleur romanesco précoce0314,Fleur romanesco précoce0314
Fleur romanesco d'été0315,Fleur romanesco d'été0315
Fleur romanesco d'été0315,Fleur romanesco d'été0315
Fleur romanesco d'été0315,Fleur romanesco d'été0315
Fleur romanesco d'automne0316,Fleur romanesco d'automne0316
Fleur romanesco d'automne0316,Fleur romanesco d'automne0316
Fleur romanesco d'automne0316,Fleur romanesco d'automne0316
Fleur romanesco d'hiver0317,Fleur romanesco d'hiver0317
Fleur romanesco d'hiver0317,Fleur romanesco d'hiver0317
