,LEGCOD,Légume développé
0,010,Ail
1,020,Artichaut
2,030,Asperge
3,041,Aubergine plein air ou abri bas
4,042,Aubergine sous serre ou abri haut
5,050,Bette et carde
6,060,Betterave potagère
7,070,Brède
8,080,Brocolis
9,090,Carotte
10,100,Céleri branche
11,110,Céleri rave
12,121,Chou blanc
13,122,Chou de Bruxelles
14,123,Chou chinois
15,124,Chou à choucroute
16,125,Chou fleur
17,126,Chou vert
18,127,Chou autres
19,130,"Christophines, chayotte, chouchou"
20,141,Concombre plein air ou abri bas
21,142,Concombre sous serre ou abri haut
22,151,Courgette plein air ou abri bas
23,152,Courgette sous serre ou abri haut
24,160,Echalote
25,170,Epinard
26,180,Fenouil
27,190,Fève
28,200,Flageolet
29,201,Fraise plein air ou abri bas
30,202,Fraise sous serre ou abri haut pleine terre
31,203,Fraise sous serre ou abri haut hors sol
32,210,Gombo
33,220,Haricot à écosser et demi sec
34,230,"Haricot vert, beurre"
35,240,Maïs doux
36,251,Melon plein air ou abri bas
37,252,Melon sous serre ou abri haut
38,260,Navet potager
39,271,Oignon blanc
40,272,Oignon de couleur
41,273,"Oignon de pays (cive, oignon vert...)"
42,274,Oignon autres
43,280,Pastèque
44,290,Petits pois
45,300,Plants de légumes
46,310,Poireau
47,320,Poivron
48,330,"Potiron, courge, giraumon, citrouille"
49,340,Radis
50,350,Raifort cultivé ou radis noir
51,361,Salade plein air ou abri bas
52,362,Salade sous serre ou abri haut
53,371,Salade – chicorée
54,372,Salade – laitue
55,373,Salade – mâche
56,374,Salade – cresson
57,375,Salade – autres
58,380,Salsifis
59,391,Tomates plein air
60,392,Tomates sous serre ou abri haut
61,393,Tomates sous serre ou abri haut hors sol
62,400,Légumes autres
