,OTEFDA ,Orientation nomenclature agrégée 
0,1516,Exploitations spécialisées en grandes cultures
1,2829,Exploitations spécialisées en maraîchage ou horticulture
2,3500,Exploitations spécialisées en viticulture
3,3900,Exploitations spécialisées en cultures fruitières ou autres cultures permanentes
4,4500,Exploitations bovines spécialisées — orientation lait
5,4600,Exploitations bovines spécialisées — orientation élevage et viande
6,4700,"Exploitations bovines — lait, élevage et viande combinés"
7,4800,"Exploitations avec ovins et/ou  caprins, et/ou autres herbivores"
8,5074,Exploitations spécialisées en porcins et/ou volailles 
9,6184,Exploitations de polyculture et/ou polyélevage
10,9000,Exploitations non classées
