,Table PPAM,
0,100,Basilic
1,110,Camomille
2,120,"Ciboulette (+ cive, oignons verts)"
3,130,Citronnelle
4,140,Coriandre
5,150,Safran (crocus)
6,160,Curcuma
7,170,Géranium
8,180,Gingembre
9,190,Hélichryse (immortelle)
10,200,Lavande
11,210,Lavandin
12,220,Mélisse
13,230,Menthe
14,240,Pavot Oeillette
15,250,Persil
16,260,Piment
17,270,Romarin
18,280,Roucou
19,290,Sauge sclarée
20,300,Thym
21,311,Vanille de plein champ sur tuteur naturel ou artificiel
22,312,Vanille sous abri haut
23,313,Vanille sous forêt naturelle
24,320,ylang ylang
25,330,Autres plantes à parfum
26,340,Autres plantes aromatiques
27,350,Autres plantes médicinales
