DIVACTCOD,"Activités de diversification, dont transformation de produits agricoles"
0110,"Transformation de céréales (meunerie, pain, pâtes, bières…)"
0120,Transformation d’oléagineux (huiles de consommation ou pour combustibles)
0130,Production d’huiles essentielles et hydrolats
0140,"Transformation de légumes (soupe, conserves…)"
0150,"Transformation de racines ou tubercules (farine de manioc, kwak,…)"
0161,"Vinification à la ferme (y compris vin doux, Muscat, Pineau, Floc…)"
0162,"Production d’alcool issu de vin (Armagnac, Cognac…)"
0170,"Production issue de canne à sucre (jus de canne, rhum…)"
0181,Production d’huile d’olive
0182,"Transformation de fruits (confitures, sirops, liqueurs, jus de fruits, cidre, calvados, poiré…)"
0210,"Transformation de lait (beurre, yaourts, fromages, crème…)"
0221,"Transformation de viandes (pâtés, salaisons, conserves…)"
0222,"Découpe de viandes, caissettes…"
0230,Production de produits à base de miel
0900,Transformation d’autres produits agricoles (hors aliments pour les animaux de l’exploitation)
5020,"Travail agricole pour d’autres exploitations (moisson, fenaison, vendange, entretien de clôtures, curage de fossés…)"
5030,"Travail non agricole (pour d’autres types d’entreprises : transport, chantiers, travaux publics, déneigement…)"
1010,"Hébergement (chambres d’hôte, gîtes, camping à la ferme…)"
1030,"Restauration (table d'hôte, ferme auberge)"
1020,"Restauration (table d’hôte, ferme auberge…)"
1040,"Service de santé, services sociaux ou éducatifs (ferme pédagogique, médiation animale…)"
4040,Vente d'énergie Solaire / Photovoltaïque
4049,"Mise à disposition de surfaces pour le Solaire/Photovoltaïque (toiture, parcelles…)"
4031,Production individuelle de biogaz / unité de méthanisation
4032,Production collective de biogaz / unité de méthanisation (détenue par plusieurs agriculteurs)
4033,Production centralisée de biogaz / méthanisation (détenue par une collectivité ou une société privée)
4010,Vente d'énergie éolienne
4019,Mise à disposition de surfaces pour l’éolien
4020,"Valorisation de biomasse (plaquettes, bois…)"
4050,Production d'énergie hydraulique
6010,Sylviculture (production de bois sur pied)
6020,"Transformation de bois pour la vente (sciage, bois de chauffage…)/Exploitation forestière( y c. abattage et débardage)"
2010,"Artisanat (vannerie, tannerie…)"
5010,"Aquaculture (pisciculture, conchyliculture, algoculture, spiruline…)"
8000,Activités de négoce : achat vente de produits agricoles en provenance d’autres exploitations
9000,Autres  (gardiennage de caravane ou camping cars - hors pension d’animaux)
