Table PPAM,
100,Basilic
110,Camomille
120,"Ciboulette (+ cive, oignons verts)"
130,Citronnelle
140,Coriandre
150,Safran (crocus)
160,Curcuma
170,Géranium
180,Gingembre
190,Hélichryse (immortelle)
200,Lavande
210,Lavandin
220,Mélisse
230,Menthe
240,Pavot Oeillette
250,Persil
260,Piment
270,Romarin
280,Roucou
290,Sauge sclarée
300,Thym
311,Vanille de plein champ sur tuteur naturel ou artificiel
312,Vanille sous abri haut
313,Vanille sous forêt naturelle
320,ylang ylang
330,Autres plantes à parfum
340,Autres plantes aromatiques
350,Autres plantes médicinales
