"Base Tous Salariés : fichier Postes - 2021"





post
"Données par poste de travail et données de niveau établissement réintégrées au niveau poste 2021"

"Nom de la variable";Libellé;Modalités
a6;"APET ou APEN agrégée en 6 postes";"AZ - Agriculture, sylviculture et pêche";"BE - Industrie manufacturière, industries extractives et autres";"FZ - Construction";"GI - Commerce de gros et de détail, transports, hébergement et restauration";"JU - Services divers";"OQ - Administration publique, enseignement, santé et action sociale"
a17;"APET ou APEN agrégée en 17 postes";"AZ - Agriculture, sylviculture et pêche";"DE - Industries extractives, énergie, eau, gestion des déchets et dépollution";"C1 - Fabrication de denrées alimentaires, de boissons et de produits à base de tabac";"C2 - Cokéfaction et raffinage";"C3 - Fabrication d'équipements électriques, électroniques, informatiques, fabrication de machines";"C4 - Fabrication de matériels de transport";"C5 - Fabrication d'autres produits industriels";"FZ - Construction";"GZ - Commerce, réparation d'automobiles et de motocycles";"HZ - Transports et entreposage";"IZ - Hébergement et restauration";"JZ - Information et communication";"KZ - Activités financières et d'assurance";"LZ - Activités immobilières";"MN - Activités scientifiques et techniques, services administratifs et de soutien";"OQ - Administration publique, enseignement, santé humaine et action sociale";"RU - Autres activités de services"
a38;"APET ou APEN agrégée en 38 postes";"AZ - Agriculture, sylviculture et pêche";"BZ - Industries extractives";"CA - Fabrication de denrées alimentaires, de boissons et de produits à base de tabac";"CB - Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure";"CC - Travail du bois, industries du papier et imprimerie";"CD - Cokéfaction et raffinage";"CE - Industrie chimique";"CF - Industrie pharmaceutique";"CG - Fabrication de produits en caoutchouc et en plastique ainsi que d'autres produits minéraux non métalliques";"CH - Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements";"CI - Fabrication de produits informatiques, électroniques et optiques";"CJ - Fabrication d'équipements électriques";"CK - Fabrication de machines et équipements N.C.A.";"CL - Fabrication de matériels de transport";"CM - Autres industries manufacturières, réparation et installation de machines et d'équipements";"DZ - Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné";"EZ - Production et distribution d'eau,; assainissement, gestion des déchets et dépollution";"FZ - Construction";"GZ - Commerce, réparation d'automobiles et de motocycles";"HZ - Transports et entreposage";"IZ - Hébergement et restauration";"JA - Edition, audiovisuel et diffusion";"JB - Télécommunications";"JC - Activités informatiques et services d'information";"KZ - Activités financières et d'assurance";"LZ - Activités immobilières";"MA - Activités juridiques, comptables, de gestion, d'architecture, d'ingénierie, de contrôle et d'analyses techniques";"MB - Recherche-développement scientifique";"MC - Autres activités spécialisées, scientifiques et techniques";"NZ - Activités de services administratifs et de soutien";"OZ - Administration publique";"PZ - Enseignement";"QA - Activités pour la santé humaine";"QB - Hébergement médico-social et social et action sociale sans hébergement";"RZ - Arts, spectacles et activités récréatives";"SZ - Autres activités de services";"TZ - Activités des ménages en tant qu'employeurs, activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre";"UZ - Activités extraterritoriales"
a88;"APET ou APEN agrégée en 88 postes";"01 - Culture et production animale, chasse et services annexes";"02 - Sylviculture et exploitation forestière";"03 - Pêche et aquaculture";"05 - Extraction de houille et de lignite";"06 - Extraction d'hydrocarbures";"07 - Extraction de minerais métalliques";"08 - Autres industries extractives";"09 - Services de soutien aux industries extractives";"10 - Industries alimentaires";"11 - Fabrication de boissons";"12 - Fabrication de produits à base de tabac";"13 - Fabrication de textiles";"14 - Industrie de l'habillement";"15 - Industrie du cuir et de la chaussure";"16 - Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles, fabrication d'articles en vannerie et sparterie";"17 - Industrie du papier et du carton";"18 - Imprimerie et reproduction d'enregistrements";"19 - Cokéfaction et raffinage";"20 - Industrie chimique";"21 - Industrie pharmaceutique";"22 - Fabrication de produits en caoutchouc et en plastique";"23 - Fabrication d'autres produits minéraux non métalliques";"24 - Métallurgie";"25 - Fabrication de produits métalliques, à l'exception des machines et des équipements";"26 - Fabrication de produits informatiques, électroniques et optiques";"27 - Fabrication d'équipements électriques";"28 - Fabrication de machines et équipements N.C.A.";"29 - Industrie automobile";"30 - Fabrication d'autres matériels de transport";"31 - Fabrication de meubles";"32 - Autres industries manufacturières";"33 - Réparation et installation de machines et d'équipements";"35 - Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné";"36 - Captage, traitement et distribution d'eau";"37 - Collecte et traitement des eaux usées";"38 - Collecte, traitement et élimination des déchets, récupération";"39 - Dépollution et autres services de gestion des déchets";"41 - Construction de bâtiments";"42 - Génie civil";"43 - Travaux de construction spécialisés";"45 - Commerce et réparation d'automobiles et de motocycles";"46 - Commerce de gros, à l'exception des automobiles et des motocycles";"47 - Commerce de détail, à l'exception des automobiles et des motocycles";"49 - Transports terrestres et transport par conduites";"50 - Transports par eau";"51 - Transports aériens";"52 - Entreposage et services auxiliaires des transports";"53 - Activités de poste et de courrier";"55 - Hébergement";"56 - Restauration";"58 - Édition";"59 - Production de films cinématographiques, de vidéo et de programmes de télévision, enregistrement sonore et édition musicale";"60 - Programmation et diffusion";"61 - Télécommunications";"62 - Programmation, conseil et autres activités informatiques";"63 - Services d'information";"64 - Activités des services financiers, hors assurance et caisses de retraite";"65 - Assurance";"66 - Activités auxiliaires de services financiers et d'assurance";"68 - Activités immobilières";"69 - Activités juridiques et comptables";"70 - Activités des sièges sociaux, conseil de gestion";"71 - Activités d'architecture et d'ingénierie, activités de contrôle et analyses techniques";"72 - Recherche-développement scientifique";"73 - Publicité et études de marché";"74 - Autres activités spécialisées, scientifiques et techniques";"75 - Activités vétérinaires";"77 - Activités de location et location-bail";"78 - Activités liées à l'emploi";"79 - Activités des agences de voyage, voyagistes, services de réservation et activités connexes";"80 - Enquêtes et sécurité";"81 - Services relatifs aux bâtiments et aménagement paysager";"82 - Activités administratives et autres activités de soutien aux entreprises";"84 - Administration publique et défense, sécurité sociale obligatoire";"85 - Enseignement";"86 - Activités pour la santé humaine";"87 - Hébergement médico-social et social";"88 - Action sociale sans hébergement";"90 - Activités créatives, artistiques et de spectacle";"91 - Bibliothèques, archives, musées et autres activités culturelles";"92 - Organisation de jeux de hasard et d'argent";"93 - Activités sportives, récréatives et de loisirs";"94 - Activités des organisations associatives";"95 - Réparation d'ordinateurs et de biens personnels et domestiques";"96 - Autres services personnels";"97 - Activités des ménages en tant qu'employeurs de personnel domestique";"98 - Activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre";"99 - Activités des organisations et organismes extraterritoriaux"
activite_partielle;"Montant brut des indemnités d'activité partielle";
annee_naiss;"Année de naissance du salarié";
apen;"Activité principale exercée de l'entreprise, codée en Nomenclature d'activités française (NAF) révision 2";"NAF révision 2 - <a href='https://www.insee.fr/fr/information/2120875' target=""_blank""> cliquer ici</a>"
apet;"Activité principale exercée de l'établissement, codée en Nomenclature d'activités française (NAF) révision 2";"NAF révision 2 - <a href='https://www.insee.fr/fr/information/2120875' target=""_blank""> cliquer ici</a>"
apet_utilisateur;"Activité principale exercée de l'établissement où l'intérimaire réalise sa mission, codée en Nomenclature d'activités française (NAF) révision 2";"NAF révision 2 - <a href='https://www.insee.fr/fr/information/2120875' target=""_blank""> cliquer ici</a>"
bascsg;"Sommes soumises à la Contribution sociale généralisée (CSG) et à la Contribution pour le remboursement de la dette sociale (CRDS)";
