"Base Tous Salariés fichier Etablissements - 2021"





etab
"Fichier national « Établissements » enrichi, contenant des données 2021 par établissement, des données de niveau entreprise redescendues au niveau établissement et des données de niveau poste agrégées au niveau établissement"

"Nom de la variable";Libellé;Modalités
a6;"Activité principale de l'établissement selon la nomenclature agrégée A6";"A6 - <a href correspondant à 'https://www.insee.fr/fr/information/2028155' target correspondant à ""_blank""> cliquer ici</a>"
a17;"Activité principale de l'établissement selon la nomenclature agrégée A17";"A17 - <a href correspondant à 'https://www.insee.fr/fr/information/2028155' target correspondant à ""_blank""> cliquer ici</a>"
a38;"Activité principale de l'établissement selon la nomenclature agrégée A38";"A38 - <a href correspondant à 'https://www.insee.fr/fr/information/2028155' target correspondant à ""_blank""> cliquer ici</a>"
a88;"Activité principale de l'établissement selon la nomenclature agrégée A88";"A88 - <a href correspondant à 'https://www.insee.fr/fr/information/2028155' target correspondant à ""_blank""> cliquer ici</a>"
apen;"Activité principale de l'entreprise selon la NAF rév. 2";"NAF rév.2 - <a href correspondant à 'https://www.insee.fr/fr/information/2120875' target correspondant à ""_blank""> cliquer ici</a>"
apet;"Activité principale de l'établissement selon la NAF rév. 2";"NAF rév.2 - <a href correspondant à 'https://www.insee.fr/fr/information/2120875' target correspondant à ""_blank""> cliquer ici</a>"
catjur;"Catégorie juridique du lieu de travail";"Niveau III - <a href correspondant à 'https://www.insee.fr/fr/information/2028129' target correspondant à ""_blank ""> cliquer ici</a>"
codecom_siege;"Code géographique de la commune d'implantation de l'établissement siège de l'entreprise";"Code commune - <a href correspondant à 'https://www.insee.fr/fr/information/2560452' target correspondant à ""_blank""> cliquer ici</a>"
comt;"Commune du lieu de travail";"Code commune - <a href correspondant à 'https://www.insee.fr/fr/information/2560452' target correspondant à ""_blank""> cliquer ici</a>"
conv_coll_eta_1;"1ère convention collective par ordre d’effectif";"Nomenclatures des conventions collectives - <a href correspondant à 'https://travail-emploi.gouv.fr/dialogue-social/negociation-collective/article/conventions-collectives-nomenclatures' target correspondant à ""_blank""> cliquer ici</a>"
conv_coll_eta_10;"10ème convention collective par ordre d’effectif";"Nomenclatures des conventions collectives - <a href correspondant à 'https://travail-emploi.gouv.fr/dialogue-social/negociation-collective/article/conventions-collectives-nomenclatures' target correspondant à ""_blank""> cliquer ici</a>"
conv_coll_eta_2;"2ème convention collective par ordre d’effectif";"Nomenclatures des conventions collectives - <a href correspondant à 'https://travail-emploi.gouv.fr/dialogue-social/negociation-collective/article/conventions-collectives-nomenclatures' target correspondant à ""_blank""> cliquer ici</a>"
conv_coll_eta_3;"3ème convention collective par ordre d’effectif";"Nomenclatures des conventions collectives - <a href correspondant à 'https://travail-emploi.gouv.fr/dialogue-social/negociation-collective/article/conventions-collectives-nomenclatures' target correspondant à ""_blank""> cliquer ici</a>"
conv_coll_eta_4;"4ème convention collective par ordre d’effectif";"Nomenclatures des conventions collectives - <a href correspondant à 'https://travail-emploi.gouv.fr/dialogue-social/negociation-collective/article/conventions-collectives-nomenclatures' target correspondant à ""_blank""> cliquer ici</a>"
conv_coll_eta_5;"5ème convention collective par ordre d’effectif";"Nomenclatures des conventions collectives - <a href correspondant à 'https://travail-emploi.gouv.fr/dialogue-social/negociation-collective/article/conventions-collectives-nomenclatures' target correspondant à ""_blank""> cliquer ici</a>"
conv_coll_eta_6;"6ème convention collective par ordre d’effectif";"Nomenclatures des conventions collectives - <a href correspondant à 'https://travail-emploi.gouv.fr/dialogue-social/negociation-collective/article/conventions-collectives-nomenclatures' target correspondant à ""_blank""> cliquer ici</a>"
