"Base non salariés (BNS) - 2020"





bns_acoss_2020
"Base de l'Agence centrale des organismes de sécurité sociale (pilote du réseau des Urssaf), recouvrant les cotisations sociales personnelles d'allocations familiales et la CSG-CRDS assises sur les rémunérations de l'ensemble des non-salariés, hors sphère agricole 2020"

"Nom de la variable";Libellé;Modalités
IDENT_NS;"Identifiant du non-salarié";
AGE;"Âge atteint par le non-salarié au cours de l'année de validité";
ANNAI;"Année de naissance du non-salarié";
DEPNAI;"Département de naissance du non-salarié";"Code officiel géographique - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
SX;"Genre du non-salarié";"0 - Femme";"1 - Homme"
FILT;"Indicatrice de détection des affiliés à l'Agence centrale des organismes de sécurité sociale (Acoss) ou la Mutualité sociale agricole (MSA) au cours de l'année de validité N";"A - L’affilié est présent dans les fichiers de l'Urssaf l'année N";"M - L’affilié est présent dans les fichiers de la MSA l'année N";" - L’affilié est absent des fichiers Urssaf et MSA l'année N"
FILT_1;"Indicatrice de détection des affiliés à l'Agence centrale des organismes de sécurité sociale (Acoss) ou la Mutualité sociale agricole (MSA) au cours de l'année de validité N - 1";"A - L’affilié est présent dans les fichiers de l'Urssaf l'année N";"M - L’affilié est présent dans les fichiers de la MSA l'année N";" - L’affilié est absent des fichiers Urssaf et MSA l'année N"
S_ACT_PART;"Montant brut de l’indemnité versée au salarié au titre du chômage partiel";
S_NBHEUR_AP;"Nombre total d’heures indemnisées de chômage partiel";
DEPT;"Département d'activité du non-salarié";"Code officiel géographique - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
DEPT_1;"Département d'activité du non-salarié N - 1";"Code officiel géographique - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
COMT;"Code géographique de la commune d'activité du non-salarié";"Code officiel géographique - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
COMT_1;"Code géographique de la commune d'activité du non-salarié durant l'année N - 1";"Code officiel géographique - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
AN;"Année de validité";
AN_1;"Année de validité N - 1";
