"Fichier Démographique sur les Logements et les Individus (FIDELI) - 2022"





fideli_individu22_1
"Table individus 2022"

"Nom de la variable";Libellé;Modalités
id_num;"Identifiant d’individu";
id_foy_n_1;"Identifiant du foyer fiscal de bilocalisation l'année N-1";
type_fisc_n_1;"Type d'individu fiscal l'année N-1";"01 - Référent fiscal";"02 - Conjoint";"03 à 12 - Personnes à charge
A à Z, Enfant mineur (issue du Fichier Pote)";"y ou z - Ex-conjoint décédé (poids=0)"
biloc_final_n_1;"Individu bilocalisé l'année N-1";"1 - Résidence principale de l’individu bilocalisé";"9 - Seconde résidence de l’individu bilocalisé";"0 ou vide - Individu non bilocalisé"
rev_princ_n_1;"Type de revenu principal l'année N-1";"0 - Inférieur à un revenu annuel de 2500 euros";"1 - Salaire";"3 - Retraite";"4 - Pensions alimentaires";"5 - Bénéfices agricoles";"6 - Bénéfices industriels et commerciaux";"7 - Bénéfices non commerciaux";"2 - Chômage, préretraite"
csdep_n_1;"Code département de l’adresse fiscale de traitement l'année N-1";"Code officiel géographique - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
cne1_n_1;"Code commune de l’adresse fiscale de traitement l'année N-1";"Code officiel géographique - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
rue1_n_1;"Numéro de rue au cadastre de l’adresse fiscale de traitement : Code RIVOLI l'année N-1";
noimm1_n_1;"Numéro d'immeuble de l’adresse fiscale de traitement l'année N-1";
btq1_n_1;"Indice de répétition de l’adresse fiscale de traitement l'année N-1";
id_log_n_1;"Identifiant du logement l'année N-1";
nataff_n_1;"Nature de la taxation l'année N-1";"S - Redevable de la taxe d'habitation en taxation simple";"C - Redevable de la taxe d'habitation en taxation conjointe";"R - Rattachement au sens de la de la taxe d'habitation";"I - Non affecté dans un local à l'adresse";" - Pas de mise à jour"
ltax_n_1;"Type de taxation l'année N-1";"P - Taxation à titre principal et paiement d’une taxe d'habitation";"p - Taxation à titre principal et non paiement d’une taxe d'habitation";"E - Taxation principale sans abattement, avec dégrèvement et paiement d’une taxe d'habitation";"e - Taxation principale sans abattement, avec dégrèvement et non paiement d’une taxe d'habitation";"S - Taxation à titre secondaire et paiement d’une taxe d'habitation";"s - Taxation à titre secondaire et non paiement d’une taxe d'habitation";"Autres - Ces modalités correspondent à celles de la variable ""occ"" lorsque la variable ""ltax"" est vide et que le foyer est rattaché au logement (nataff=R)";" - Pas de taxation du local ou du contribuable"
natloc_n_1;"Nature du local l'année N-1";"AP - Appartement";"AT - Antenne téléphone";"AU - Autoroute";"BC - Bûcher";"BD - Buanderie";"BX - Box";"CA - Commerce sans boutique";"CB - Local divers";"CD - Chambre de domestique";"CH - Chantier";"CL - Cellier";"CM - Commerce avec boutique";"CV - Cave";"DC - Dépendance communes ou lieux communs";"DE - Dépendance bâtie isolée";"EC - Dépendance commerciale";"GA - Garage";"GC - Grenier ou cave";"GP - Garage ou parking";"GR - Grenier";"JH - Jardin d'hiver";"LC - Local commun";"MA - Maison";"ME - Maison exceptionnelle";"MP - Maison partagée par une limite territoriale";"PA - Elément de pur agrément";"PI - Pièce indépendante";"PK - Parking";"PS - Piscine";"RS - Remise";"SM - Sol de maison";"SR - Serre";"TR - Terrasse";"TT - Toiture-terrasse";"UE - Transformateur électrique";"UG - Appareil à gaz";"UN - Usine nucléaire";"US/U - Etablissement industriel"
lien_familial_n_1;"Lien familial avec le référent fiscal l'année N-1";"10 - Référent fiscal";"21 - Conjoint légal";"22 - Conjoint de fait";"31 - Enfant (du référent fiscal ou du conjoint)";"32 - Enfant adopté";"40 - Conjoint enfant";"50 - Frère ou soeur";"60 - Parent";"70 - Autre avec homonymie";"80 - Autre sans homonymie"
type_menf_n_1;"Type de ménage fiscal l'année N-1";"1 - Homme seul";"2 - Femme seule";"3 - Couple sans enfant";"4 - Couple avec enfant";"5 - Famille monoparentale";"6 - Autre";"9 - Code impossible"
alterne_n_1;"Indicateur de garde alternée l'année N-1";"1 - Est en résidence alternée";"0 - N'est pas en résidence alternée"
sal_n_1;"Traitements, salaires l'année N-1";
chom_n_1;"Allocations chômage et préretraites l'année N-1";
pens_n_1;"Pensions, retraites et rentes perçues l'année N-1";
alim_n_1;"Pensions alimentaires reçues l'année N-1";
ben_agri_n_1;"Bénéfices agricoles l'année N-1";
ben_ind_n_1;"Bénéfices industriels et commerciaux l'année N-1";
ben_non_com_n_1;"Bénéfices non commerciaux l'année N-1";
x_n_1;"Coordonnées géographiques x l'année N-1";
y_n_1;"Coordonnées géographiques y l'année N-1";
