"Pratiques culturales en prairie - 2011"
"L’Enquête sur les pratiques culturales en prairie 2011 fait partie de l’enquête pratiques culturales des agriculteurs en grandes cultures et prairies en 2011 qui fait suite à celles réalisées en 1998 et 2006. 
Elle porte sur les prairies temporaires et les prairies permanentes intensives. Comme pour l’enquête précédente de 2006, les questions posées en 2011 portent sur les interventions culturales réalisées à la récolte du précédent à la récolte de la culture interrogée. Elle donne des informations générales sur les exploitations et sur les parcelles, sur l'apport des fumures minérales et organiques et sur les interventions mécaniques.
"




exploit_pkgc2011
"Table des données sur l'exploitation"

"Nom de la variable";Libellé;Modalités
Identifiant_exploit;"Numéro unique pour la table EXPLOIT";
Identifiantdossier;"Numéro d'identifiant";
ESPECE;"Culture enquêtée";"12 - Prairie temporaire";"13 - Prairie permanente"
ESPECEINI;"Culture enquêtée, code initial (maïs et prairie ont pu changer de code, soit modification entre 08 et 09 ou entre 12 et 13)";"12 - Prairie temporaire";"13 - Prairie permanente"
PACAGEILOT;"Numéro de PACAGE + Numéro de l'ilot ";
PACAGE;"Numéro de PACAGE de l'exploitation";
SIRET;"Numéro SIRET de l’exploitation";
REG;"Région du siège de l'exploitation";"Code région - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
DEP;"Département de localisation de la parcelle";"Code département - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
DEPCOMP;"Code commune de l'exploitant";"Code commune - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
DEPEXPLOI;"Département de la commune de l'exploitation";"Code département - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
BIO;"Appartenance à la strate « bio »";"1 - Bio";"0 - Ni l'un ni l'autre";"2 - MAE"
ZONE;"Appartenance à la strate «zone vulnérable»";"1 - Zone vulnérable";"0 - Hors zone vulnérable"
SUPP;"Superficie de la parcelle";
