"Pratiques phytosanitaires en viticulture - 2016"
"Enquête réduite à quelques questions de pratiques culturales et axée sur les pratiques phytosanitaires.
L’enquête porte sur des parcelles culturales générées par des sous-parcelles cadastrales. 
Le Casier Viticole Informatisé (CVI)  de 2015 permet de déterminer la base de sondage. Elle est constituée des sous-parcelles cadastrales du CVI : situées dans les bassins enquêtés, plantées en vignes avec des raisins de cuve (excluant les vignes à raisin de table, les vignes mère de greffon et de porte-greffe), appartenant à une exploitation viti-vinicole active et produisant du vin.
Les sous-parcelles cadastrales correspondant à des plantations de moins de trois ans ainsi que celles identifiées comme servant à une production auto-consommée ou à une production de jus de fruit sont exclues de la base de sondage."




PHYTOVITI2016
"Ensemble des données simples décrites sous Capibara. Les données des traitements structures répétées sont présentes sous forme de variables calculées et agrégées au niveau de la parcelle."

"Nom de la variable";Libellé;Modalités
IDENTPARC;"Identifiant de la parcelle";
COEF1;"Coefficient d'extrapolation";
COEF2;"Coefficient d'extrapolation pondéré par la superficie";
TYPQUEST;"Type de parcelle";"1 - Parcelle de l'échantillon initial";"2 - Parcelle remplaçante"
PANEL;"Appartenance de la parcelle au panel";"0 - Non";"1 - Oui"
IDPKVITI13;"Parcelle répondante en 2013";"0 - nouvelle parcelle 2016";"1 - parcelle déjà  enquétée en 2013"
IDBALSA;"Appartenance à BALSA";"0 - Non";"1 - Oui"
SIRET;"Numéro SIRET de l'exploitation";
REGPCV;"Région administrative de la parcelle culturale";
DEPPCV;"Département de la parcelle culturale";
REGVITI;"Région viticole de la parcelle culturale";"00 - Alsace";"01 - Aquitaine";"02 - Beaujolais";"03 - Bourgogne";"04 - Champagne";"05 - Charentes";"06 - Languedoc-Roussillon";"07 - Midi-Pyrénées";"08 - Provence-Alpes-Côte d Azur";"09 - Val-de-Loire";"10 - Côtes-du-Rhône";"11 - Corse";"12 - Bugey-Savoie"
BASSINV;"Bassin viticole de la parcelle culturale";"00 - Alsace";"01 - Beaujolais";"02 - Bordelais";"03 - Bourgogne";"04 - Champagne";"05 - Charentes";"06 - Languedoc hors PO";"07 - Pyrénées-Orientales";"08 - PACA 83 84";"09 - Val de Loire hors Sancerre";"10 - Bouches-du-Rhône";"11 - Dordogne";"13 - Gers";"14 - Gaillac";"15 - Cahors";"16 - Lot-et-Garonne";"17 - CDR-nord";"18 - CDR-sud";"19 - Cher";"20 - Corse";"21 - Bugey-Savoie"
SUPPVIGRC;"Superficie vigne raisin de cuve de l'exploitation (en hectare)";
PERSRESP;"Personne responsable";"1 - Exploitant ou associé (si société)";"2 - Chef de culture salarié de l'exploitation";"3 - Autres"
SUPP;"Superficie brute de la parcelle (en hectare)";
ANPLAN;"Date de plantation de la parcelle";
QANPLAN;"Age de la vigne";
VICEP;"Code du cépage de la parcelle";
CEPAGE;"Libellé du cépage";
PORTEGREFFE;"Code du porte-greffe de la parcelle";
LIBPG;"Libellé du porte-greffe";
DISTRANG;"Distance entre les rangs (en cm)";
DISTCEP;"Distance entre les ceps sur les rangs (en cm)";
DENSITE;"Nombre de pieds de vigne à l'hectare";
TYPVINPAR;"Type de vin revendiquable";"1 - AOP";"2 - IGP avec mention cépage";"3 - IGP sans mention cépage";"4 - Sans IG avec mention cépage";"5 - Sans IG";"6 - Vins aptes aux eaux-de-vie"
CAHIERBIO;"Parcelle conduite selon un cahier des charges biologique ou en conversion";"0 - Non";"1 - Agriculture biologique-AB";"2 - Autre mode biologique certifié";"3 - Biodynamie";"4 - Mode biologique non certifié"
